# Summary of K2 Program GO6072

Title: Identifying Distant Halo Giants in High-Latitude Fields with K2: C6

PI: Peterson, Ruth (SETI Institute)
CoIs: 

The stellar content and structure of the Galactic halo constrain star formation at the earliest epochs, and halo mass and assembly. The best remote tracers are K giants, for their high luminosities render them visible to 100 kpc, and their presence in populations of all metallicities and ages ensure an unbiased sample. However, the difficulty of separating distant giants from foreground dwarfs at faint magnitudes has led to choosing preferentially metal-poor giant candidates. Our goal here is to use K2 light curves, which lack this bias, to identify two hundred giants 10  100 kpc above the Galactic plane in lightly-reddened areas at high Galactic latitude.

This proposal is relevant to the Kepler K2 Guest Observer solicitation because new K2 observations are the only means of doing this without invoking an explicit low-metallicity bias. Previous identification relies on spectra or photometric indices to select candidates for scarce follow-up resources; such criteria are vital to increase the odds of finding halo giants. K2 does not need this, as it can identify all cool giants from their light curves, and can record a thousand potential targets at once. Kepler could as well, but the Kepler field was centered at low Galactic latitude, b = +13.5º, a line of sight that remains close to the Galactic plane. Reddening is significant and variable, and halo giants are swamped by dwarfs of the disk/thick disk. Existing K2 data in the high-latitude fields C1 and C3 include very few suitable STAR targets. Obtaining new K2 data in the upcoming K2 high-latitude fields C6, C8, C10, and C12 now offers a unique opportunity to identify a total of a thousand giants lying 10 to 100 kpc above the Galactic plane without explicit color or line-strength cuts based on metallicity.

We propose K2 C6 long-cadence observations of ~1050 distant giant candidates at Galactic latitude b from 48° to 53°, with E(g-r) ~ 0.04. These include all on-silicon EPIC stars with SDSS ugriz photometry, 0.60 <= g-r < 1.06, proximity > 12 if given, and proper motion < 13 mas/yr. These targets all have 16 <~ Kp <~ 18, too faint for direct GAIA or APOGEE spectroscopy. The faint Kp limit, required for peak detection in a giant power spectrum, is based on Kepler light curves of APOGEE metal-poor giants and a K2 precision of 1% in 30min at Kp = 17.5. A check on peak detectability and the resulting parameters comes from C6 targets having SEGUE spectra, namely 16 dwarfs and 15 giants.

The peak frequency nu_max of maximum power of p-mode (solar-like) oscillations scales as gravity g/sqrt(Teff). At 0.56 < (g-r)o < 1.02, such giants have 200 >~ nu_max >~ 1¼Hz and temperature Teff from 5100 to 4200K. As dwarfs show no peaks here (or recognizable ones), and metal-poor subgiants and red clump stars are bluer, nu_max alone can separate giants from interlopers. nu_max will be found to 10% from power spectra derived from the K2 80-day light curves (from the positions of the strongest peaks near the high- frequency cutoff), and Teff to < 100K (from g-r). These will fix the luminosity of a giant to ~20%, and be confirmed via globular- cluster ugriz diagrams and existing results for individual stars. Follow-up spectroscopy of these distant giants (and dwarfs) to improve their parameters need observe but a small sky area, 4 sq deg, accessible to both UVES FLAMES and Keck DEIMOS.

We will publish a catalogue of all stars detected, with our values of nu_max, luminosity, distance, Teff, and log g, plus metallicity [Fe/H] for cooler stars (estimated from ugriz color-color plots). For added value, we will provide a grid of high-resolution spectra calculated from first principles for metal-poor giants. From these, Teff, log g, and [Fe/H] may be derived from optical spectra of moderate or high resolution for metal-poor giants in regions of both low and high reddening. This will provide important standardized input for K2/Kepler metal-poor giant seismology and other NASA investigations.

# Targets requested by this program that have been observed (1145)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212607807, 211.6524811, -10.41325, 17.485, GO6072_LC
212607836, 211.8705292, -10.412776, 17.443, GO6072_LC
212608030, 211.8615723, -10.4081526, 18.072, GO6072_LC
212608118, 211.8116913, -10.4058914, 17.989, GO6072_LC
212608447, 211.4572144, -10.3981972, 16.623, GO6072_LC
212608468, 211.8952332, -10.3978777, 18.074, GO6072_LC
212608842, 211.5412292, -10.3898077, 16.316, GO6072_LC
212609756, 211.6017609, -10.3690691, 17.921, GO6072_LC
212609760, 211.4026184, -10.3689423, 17.519, GO6072_LC
212610228, 212.0019073, -10.3586721, 17.181, GO6072_LC
212610470, 211.4693909, -10.3532162, 18.303, GO6072_LC
212610636, 211.9989929, -10.3493385, 17.206, GO6072_LC
212610720, 211.6328125, -10.347352, 17.276, GO6072_LC
212610762, 211.1304779, -10.346405, 17.214, GO6072_LC
212610982, 210.8953247, -10.3412943, 17.892, GO6072_LC
212611079, 210.9653778, -10.3392973, 17.527, GO6072_LC
212611736, 211.5977325, -10.3238392, 18.234, GO6072_LC
212612168, 211.3637238, -10.3140392, 18.282, GO6072_LC
212612253, 211.0488892, -10.3119364, 17.241, GO6072_LC
212612293, 210.6360474, -10.3111601, 18.193, GO6072_LC
212612345, 211.3538513, -10.3101549, 18.372, GO6072_LC
212612492, 210.9181976, -10.3068609, 16.99, GO6072_LC
212612627, 211.515564, -10.3035831, 17.509, GO6072_LC
212612838, 210.8918457, -10.2988987, 18.494, GO6072_LC
212612890, 210.7180328, -10.2979431, 17.83, GO6072_LC
212613075, 211.6261597, -10.2939215, 17.226, GO6072_LC
212613088, 210.349472, -10.2935047, 18.501, GO6072_LC
212613134, 211.3748169, -10.2927589, 17.024, GO6072_LC
212613461, 211.0006866, -10.2853975, 18.341, GO6072_LC
212613731, 210.9843292, -10.2791939, 18.234, GO6072_LC
212614245, 211.7329407, -10.2670803, 17.457, GO6072_LC
212615064, 211.5901642, -10.2488537, 17.675, GO6072_LC
212615510, 211.8806915, -10.2388992, 16.973, GO6072_LC
212615889, 211.3097229, -10.2298031, 18.409, GO6072_LC
212615982, 211.813736, -10.2276001, 17.729, GO6072_LC
212616251, 210.5532684, -10.2208881, 16.55, GO6072_LC
212616352, 211.6118469, -10.218751, 17.935, GO6072_LC
212616373, 210.9714966, -10.2181244, 17.386, GO6072_LC
212616620, 211.3241882, -10.2121077, 18.149, GO6072_LC
212616670, 209.8583984, -10.2110977, 17.205, GO6072_LC
212616777, 210.3033142, -10.2087069, 18.425, GO6072_LC
212616931, 211.0470276, -10.2051363, 17.113, GO6072_LC
212617018, 209.9004517, -10.2030249, 18.512, GO6072_LC
212617190, 210.1573944, -10.1994572, 17.608, GO6072_LC
212617256, 211.162323, -10.1977015, 18.146, GO6072_LC
212617417, 211.3899689, -10.1940765, 17.402, GO6072_LC
212617435, 209.8691711, -10.1937008, 17.984, GO6072_LC
212617564, 210.5537262, -10.1905956, 16.641, GO6072_LC
212617868, 211.6025085, -10.1841803, 17.628, GO6072_LC
212617896, 210.745224, -10.1835175, 17.972, GO6072_LC
212618006, 211.7207794, -10.1810122, 17.95, GO6072_LC
