# Summary of K2 Program GO6077

Title: The K2 Extra-Galactic Survey (KEGS) Transient Survey

PI: Shaya, Ed (U. of Maryland)
CoIs: Rest, Armin; Mushotzky, Richard; Olling, Robert P; Tucker, Brad E; Filippenko, Alexei Vladimir; Kasen, Daniel Nathan; Garnavich, Peter M.

Supernovae (SN) and Active Galactic Nuclei (AGN) vary on timescales of hours to months and are still shrouded in mysteries. We propose a Large K2 Program to monitor ~ 3,500 bright (r < 18 mag, z < 0.08) galaxies in Campaign 6 (and abstaining from Campaign 7) which should yield, about 7 extremely well-sampled light curves (LCs) of supernovae. To date, we have identified 6 supernovae events in our Kepler GO programs and also found that ~ 4% of galaxies observed by Kepler show AGN-like activity (variability at > 0.001% level). We plan to: A) Determine the types of companions to progenitors of SNe using features in the early (t < 4 days) LCs; B) Explore the explosion physics of SN Ia using subtle features during its rise (t < 20 days); C) Improve the calibration of SN Ia for measuring distances and dark energy by creating a sample of well measured SN Ia LCs with unprecedented detail. D) In nearby galaxies, look for fast (t > 10 day) and faint (M < -15) transients in a new range of parameter space provided only by K2; and E) Add significantly to the virtually unexplored low-Eddington regime of AGN.  

What triggers a white dwarf to explode as a SN Ia is unsolved. Does it accrete from a companion star or does it merge with another WD? If it accretes from a companion star, shock emission, as the explosion hits the star, would be observable (Kasen 2010). That emission will be short lived and strongest from certain viewing angles, requiring a rapid observing cadence and several SNe before strong conclusions can be reached. With two SN Ia discovered by our previous Kepler monitoring of ~ 500 galaxies (Olling et al. 2015), tight constraints were placed on the systems. With a larger sample, we could determine what the progenitors of SN Ia are. Meanwhile, features due to the different explosion physics (detonation, deflagration, inwards-moving diffusion waves, etc) of Ia and core collapse SNe will be revealed. K2 allows us, for the first time, to test models that are more complicated than the simple "expanding fireballs."

Our program will improve the calibration of SN Ia's for cosmology by reducing uncertainties in distance measurements. By determining the key parameters needed for distance fitting (light-curve width, maximum, and the explosion time) on the scale of minutes rather than days, we can improve the precision of distances and dark energy as a function of redshift.  

We will undertake a major, concurrent ground-based effort to observe the entire field every other day using SkyMapper and ATLAS Pathfinder. We will also coordinate multi-color photometry and spectra to classify the transients using PESSTO, and existing programs at Siding Spring, Lick, Gemini, and Keck. These data, coupled with high precision 30 min K2 data will have great legacy value.

In addition, in the nearby galaxies, this program will also be sensitive to LBV- and nova-like eruptions, tidal shredding of stars or other material by super-massive black holes, and other still unknown types of faint, fast transients.

# Targets requested by this program that have been observed (4680)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212269912, 207.8864136, -18.5005035, 16.999, GO6077_LC
212270548, 208.1248474, -18.4776573, 16.7, GO6077_LC
212271936, 207.4458466, -18.4278145, 16.728, GO6077_LC
212272435, 207.4154663, -18.4105682, 17.557, GO6077_LC
212272504, 207.1029053, -18.4075165, 15.828, GO6077_LC
212274115, 206.288681, -18.3515263, 18.62, GO6077_LC
212274462, 207.0786285, -18.3395729, 17.586, GO6077_LC
212274521, 206.9982147, -18.3372192, 17.041, GO6077_LC
212274812, 206.9917755, -18.3275719, 18.021, GO6077_LC
212274957, 207.8026581, -18.3217583, 17.689, GO6077_LC
212275950, 206.853714, -18.2878609, 17.147, GO6077_LC
212276885, 207.6878662, -18.2559433, 15.405, GO6077_LC
212277451, 206.7443237, -18.2374706, 17.716, GO6077_LC
212278357, 206.6702728, -18.2059784, 18.44, GO6077_LC
212279112, 207.116745, -18.1813469, 17.39, GO6077_LC
212279530, 208.0936737, -18.1668053, 18.269, GO6077_LC
212280349, 204.2991486, -18.139389, 18.105, GO6077_LC
212280708, 206.8866119, -18.1275558, 17.871, GO6077_LC
212280911, 206.7971802, -18.1201687, 18.194, GO6077_LC
212280923, 206.7232056, -18.1198483, 17.616, GO6077_LC
212281803, 204.2088776, -18.0895596, 17.791, GO6077_LC
212282217, 203.78302, -18.0757198, 17.737, GO6077_LC
212282442, 206.5143738, -18.0687752, 18.314, GO6077_LC
212282476, 207.4747467, -18.0677261, 19.266, GO6077_LC
212282690, 203.83815, -18.0605526, 18.146, GO6077_LC
212282983, 207.1910248, -18.0501156, 18.184, GO6077_LC
212283169, 203.8385468, -18.0448227, 17.699, GO6077_LC
212283427, 207.3349762, -18.0369987, 17.228, GO6077_LC
212283611, 203.8591156, -18.0313416, 17.172, GO6077_LC
212283836, 206.3269348, -18.0237713, 17.415, GO6077_LC
212284270, 204.7295227, -18.0094833, 17.745, GO6077_LC
212284303, 207.2925873, -18.0084267, 16.866, GO6077_LC
212285945, 206.0024261, -17.9581661, 17.951, GO6077_LC
212286621, 204.0232239, -17.9387264, 18.241, GO6077_LC
212287228, 203.4503937, -17.9199772, 17.06, GO6077_LC
212287274, 206.1042328, -17.9186363, 17.877, GO6077_LC
212287885, 203.3448639, -17.9000092, 18.626, GO6077_LC
212287955, 204.9976807, -17.8976574, 18.51, GO6077_LC
212288265, 207.8609924, -17.8889141, 18.337, GO6077_LC
212288412, 203.4035492, -17.8852196, 17.951, GO6077_LC
212288653, 207.9360657, -17.8778191, 18.116, GO6077_LC
212288816, 202.7764282, -17.8733959, 17.916, GO6077_LC
212289435, 208.1707916, -17.8563404, 17.368, GO6077_LC
212289826, 201.984436, -17.8444576, 17.435, GO6077_LC
212290217, 204.6428375, -17.8323021, 17.917, GO6077_LC
212290771, 207.7602997, -17.8138962, 16.669, GO6077_LC
212290837, 207.8247986, -17.8116417, 17.995, GO6077_LC
212290956, 207.1628113, -17.8081779, 17.158, GO6077_LC
212291274, 206.0904694, -17.7979908, 17.212, GO6077_LC
212291556, 208.0425415, -17.7891331, 17.514, GO6077_LC
212292607, 206.9628754, -17.7561512, 17.898, GO6077_LC
212293199, 203.5687561, -17.738718, 17.241, GO6077_LC
212293229, 208.2333679, -17.7375984, 16.021, GO6077_LC
212293455, 203.4896698, -17.7304649, 17.817, GO6077_LC
212293476, 204.5175781, -17.7296715, 18.51, GO6077_LC
212293559, 207.4620819, -17.7271328, 18.015, GO6077_LC
212293893, 206.9232635, -17.7158947, 17.476, GO6077_LC
212294174, 206.0519714, -17.7073689, 17.949, GO6077_LC
212294576, 207.0142365, -17.6950722, 18.104, GO6077_LC
212294633, 203.2588501, -17.6933575, 18.359, GO6077_LC
212294707, 204.3188782, -17.6910038, 16.932, GO6077_LC
212295159, 204.6189575, -17.677393, 16.875, GO6077_LC
212295449, 203.2144012, -17.6689472, 17.255, GO6077_LC
212295661, 201.3191833, -17.6628456, 17.511, GO6077_LC
212295983, 202.8891449, -17.6530495, 17.902, GO6077_LC
212296331, 206.6138763, -17.6419048, 17.907, GO6077_LC
212296360, 201.3438263, -17.6410427, 18.416, GO6077_LC
212296389, 207.0866089, -17.6400852, 18.281, GO6077_LC
212296460, 206.0383759, -17.6381512, 16.98, GO6077_LC
212296476, 200.916275, -17.637867, 18.184, GO6077_LC
212296705, 206.6968231, -17.631361, 17.738, GO6077_LC
212296839, 206.9323425, -17.6268272, 17.578, GO6077_LC
212296914, 201.4983978, -17.6249199, 17.285, GO6077_LC
212296969, 206.7592468, -17.6233997, 17.603, GO6077_LC
212297001, 200.8856354, -17.6222649, 18.306, GO6077_LC
212297047, 200.9474792, -17.6206207, 17.468, GO6077_LC
212297152, 201.3834076, -17.6171932, 17.729, GO6077_LC
212297467, 200.55336, -17.6077785, 17.382, GO6077_LC
212297596, 200.574234, -17.6040859, 18.573, GO6077_LC
212297605, 200.5520477, -17.6038799, 18.387, GO6077_LC
212297640, 206.067215, -17.6030922, 18.78, GO6077_LC
212297695, 204.7581787, -17.6013031, 16.876, GO6077_LC
212297848, 203.2379913, -17.5968094, 18.014, GO6077_LC
212297924, 200.6342926, -17.5946598, 18.598, GO6077_LC
212298075, 207.1483917, -17.5897751, 17.724, GO6077_LC
212298275, 204.2449036, -17.5834332, 16.394, GO6077_LC
212298424, 200.6213226, -17.5790443, 16.533, GO6077_LC
212298622, 204.1291809, -17.573122, 17.726, GO6077_LC
212298764, 203.7157898, -17.568367, 15.941, GO6077_LC
212299226, 206.7874603, -17.5543633, 18.117, GO6077_LC
212299267, 204.2427979, -17.553236, 17.98, GO6077_LC
212299484, 206.7704773, -17.5463696, 17.788, GO6077_LC
212299706, 202.0360718, -17.5400524, 17.966, GO6077_LC
212299794, 208.0423126, -17.5374222, 17.88, GO6077_LC
212299806, 201.7101593, -17.5370579, 16.788, GO6077_LC
212299909, 200.8288269, -17.5340157, 17.328, GO6077_LC
212300538, 204.8990326, -17.5156898, 17.947, GO6077_LC
212300562, 204.916153, -17.5151787, 16.836, GO6077_LC
212300750, 200.302597, -17.509798, 18.482, GO6077_LC
212300830, 204.9715729, -17.5073109, 17.292, GO6077_LC
212301108, 204.0748901, -17.4993668, 17.471, GO6077_LC
212301121, 200.3703308, -17.49897, 17.186, GO6077_LC
212301273, 200.2384338, -17.4943371, 17.367, GO6077_LC
212301439, 199.8743591, -17.4893093, 17.633, GO6077_LC
212301699, 201.4745483, -17.4813099, 18.326, GO6077_LC
212302106, 201.0244598, -17.4687634, 17.44, GO6077_LC
212302185, 206.6017151, -17.4659748, 17.03, GO6077_LC
212302499, 204.8065948, -17.4564438, 18.425, GO6077_LC
212302732, 201.6660919, -17.4492073, 16.788, GO6077_LC
212302741, 200.4902954, -17.4489155, 18.12, GO6077_LC
212303012, 207.4857483, -17.4406433, 17.194, GO6077_LC
212303492, 203.5466461, -17.4258289, 16.958, GO6077_LC
212303598, 204.7595825, -17.4222622, 17.764, GO6077_LC
212303814, 200.2608185, -17.4153805, 16.173, GO6077_LC
212303869, 204.0756531, -17.4138851, 16.925, GO6077_LC
212304126, 206.9970245, -17.4058723, 18.102, GO6077_LC
212304239, 200.5316315, -17.4020958, 17.979, GO6077_LC
212304942, 206.5642395, -17.3813305, 16.583, GO6077_LC
212305011, 199.7970276, -17.3790569, 17.202, GO6077_LC
212305411, 201.3891754, -17.3674583, 17.925, GO6077_LC
212305641, 200.5653229, -17.3606434, 15.896, GO6077_LC
212305994, 205.0660858, -17.3502369, 16.381, GO6077_LC
212306076, 207.8596497, -17.3475933, 18.658, GO6077_LC
212306135, 201.6903381, -17.3460598, 17.127, GO6077_LC
212306249, 203.3706207, -17.3424244, 18.16, GO6077_LC
212306403, 201.6516418, -17.3378048, 18.055, GO6077_LC
212306440, 201.1703949, -17.3369637, 18.22, GO6077_LC
212306638, 208.256012, -17.3311024, 17.559, GO6077_LC
212306989, 201.467453, -17.3207302, 15.93, GO6077_LC
212307904, 208.1660156, -17.2953815, 18.175, GO6077_LC
212309323, 203.4386902, -17.2540741, 18.178, GO6077_LC
212309445, 200.4077606, -17.2505074, 18.024, GO6077_LC
212309477, 206.8820801, -17.2496452, 18.455, GO6077_LC
212309524, 203.8255615, -17.2482052, 17.781, GO6077_LC
212310221, 204.2377777, -17.2261009, 18.206, GO6077_LC
212311224, 206.8516235, -17.1978569, 18.543, GO6077_LC
212311330, 200.6391754, -17.1949158, 18.867, GO6077_LC
212311807, 204.5027924, -17.1819057, 17.881, GO6077_LC
212312571, 207.4454041, -17.1598301, 17.053, GO6077_LC
212312602, 206.7129211, -17.1590004, 16.355, GO6077_LC
212312607, 204.5517426, -17.1587524, 16.043, GO6077_LC
212312741, 199.9950104, -17.1539116, 17.03, GO6077_LC
212315046, 206.3611145, -17.0859356, 17.707, GO6077_LC
212315723, 208.2277222, -17.0674286, 18.173, GO6077_LC
212315747, 206.9085083, -17.0667858, 16.758, GO6077_LC
212315936, 199.829361, -17.0613747, 18.758, GO6077_LC
212316559, 205.9709473, -17.0438633, 18.152, GO6077_LC
212316675, 201.0144958, -17.0404282, 15.768, GO6077_LC
212316748, 206.0442047, -17.0385876, 17.892, GO6077_LC
212316753, 206.279541, -17.038393, 17.905, GO6077_LC
212316900, 199.9599762, -17.0341339, 17.477, GO6077_LC
212316937, 206.2220001, -17.0329571, 18.194, GO6077_LC
212317204, 202.9699097, -17.0262814, 17.822, GO6077_LC
212317396, 199.8830414, -17.021225, 17.468, GO6077_LC
212317420, 206.1903534, -17.0203876, 18.155, GO6077_LC
212317470, 206.1105194, -17.0191917, 18.071, GO6077_LC
212317694, 200.4298248, -17.0129128, 17.172, GO6077_LC
212317961, 203.3630829, -17.0057487, 16.489, GO6077_LC
212318174, 207.3820648, -16.9997463, 18.094, GO6077_LC
212318451, 199.9276733, -16.9925594, 18.034, GO6077_LC
212318889, 200.1811218, -16.9804649, 18.24, GO6077_LC
212319008, 203.6471558, -16.9766598, 18.285, GO6077_LC
212319010, 201.0500793, -16.9766083, 18.018, GO6077_LC
212319131, 207.5357513, -16.9733677, 18.438, GO6077_LC
