# Summary of K2 Program GO7028

Title: Expanding the K2 Legacy

PI: Buzasi, Derek L (Florida Gulf Coast University)
CoIs: Preston, Heather

1. Science Goals and Objectives

The K2 mission has in a short time proven to be a successful successor to Kepler despite limitations in both pointing and observational duration. As with the original mission, pixels from the entire frame are not generally downloaded due to date rate limitations; instead, only predefined postage stamps surrounding the primary targets are made available. As characterization of the mission has improved, postage stamp sizes have shrunk and are now typically 16 x 16 pixels (approximately 1 arc minute square), with some exceptions such as areas surrounding open clusters or particularly bright targets. Even these small postage stamps generally contain several secondary targets in addition to the primary target.

Pipeline data reduction to produce time series from the postage stamps is not provided by the project, and a small number of groups have therefore solved this problem independently (see, e.g. Vanderburg & Johnson 2014, Buzasi et al. 2015), and many of these plan to make their data available to the community. An important distinction of the PIs pipeline is that we can produce light curves for all of the (well-separated) stellar targets in each field of view. We propose to produce light curves for all of the secondary targets in each K2 field of view, perform planet searches in each of those time series, and release the time series to the community.

Note that we are not requesting specific targets, but will take advantage of the fields requested by others to enable us to examine an unbiased (or less-biased) sample. Given the estimated 10,000 primary targets in each pointing, we conservatively estimate that we will produce light curves for 20,000 secondary targets.

2. Methodology

Our pipeline identifies targets in each field which are well-separated enough for accurate photometry and determines appropriate extraction mask sizes and shapes by minimizing noise at multiple user-selectable frequencies. We then generate time series using aperture photometry, and iteratively detrend the time series against CCD position and background level. As presented in Buzasi et al. (2015), we have found that this procedure produces light curves with noise levels less than twice that of the original mission.
 
We will perform planet searches in the resulting time series using both matched-filter approaches and a citizen science method inspired by the Planet Hunters program (http://www.planethunters.org). In the latter case, a year-long honors program course taught by the PI at Florida Gulf Coast University will visually examine light curves generated by the pipeline, taking advantage of human pattern recognition skills to identify periodic transit-like events. Students will follow up with more detailed analysis to produce planet candidate lists. We anticipate that the citizen science approach will find most of the hot Jupiters in the sample, while the matched-filter approach will be more suited to smaller candidates. Candidate lists and light curves will be publicly released to enable other researchers to verify our findings and perform their own searches, as well as to perform other science such as asteroseismology. We will also work with a local planetarium to produce public outreach products.

3. Relevance

While the K2 mission is a general-user facility and lacks primary science objectives, clearly exoplanet science continues to generate the most excitement connected with the missions, and we will focus our attention on that aspect. However, the light curves we will produce and release will include a wide variety of different kinds of objects, including potentially source types we have not yet seen with either Kepler or K2, and thus will be of the broadest scientific interest and relevance to NASA science objectives. Our educational and public outreach components will further contribute to the significance of the proposed project to NASA.

# Targets requested by this program that have been observed (395)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
213091707, 286.4685669, -30.8036137, 11.939, GO7030_LC|GO7087_LC|GO7028_LC
213119248, 285.9854126, -30.6752243, 11.914, GO7030_LC|GO7087_LC|GO7028_LC
213160885, 288.2096863, -30.4906387, 10.135, GO7086_LC|GO7016_LC|GO7087_LC|GO7028_LC|GO7030_LC
213193684, 288.4983826, -30.3533211, 11.808, GO7030_LC|GO7087_LC|GO7028_LC
213230582, 286.1036987, -30.2008781, 11.009, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213251240, 288.4921265, -30.1184444, 11.099, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213301599, 286.5614624, -29.9255428, 11.758, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213325618, 287.6929321, -29.8381824, 11.77, GO7030_LC|GO7087_LC|GO7028_LC
213350524, 289.4733276, -29.7439327, 11.86, GO7030_LC|GO7087_LC|GO7028_LC
213365915, 286.6702881, -29.6868134, 11.904, GO7030_LC|GO7087_LC|GO7028_LC
213375002, 290.9708557, -29.6534958, 10.485, GO7078_LC|GO7087_LC|GO7028_LC|GO7030_LC
213378158, 288.2297974, -29.6415749, 11.885, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213386060, 290.7937012, -29.6119595, 12.057, GO7086_LC|GO7028_LC
213445940, 289.1916199, -29.3959217, 12.166, GO7086_LC|GO7028_LC
213461850, 286.6528625, -29.3401203, 11.967, GO7030_LC|GO7087_LC|GO7028_LC
213467970, 290.8287964, -29.3187313, 12.295, GO7086_LC|GO7028_LC
213477167, 291.7974243, -29.2865429, 12.175, GO7086_LC|GO7028_LC
213511872, 286.2111511, -29.1665382, 11.82, GO7030_LC|GO7087_LC|GO7028_LC
213516850, 287.2401428, -29.1492939, 10.407, GO7078_LC|GO7028_LC
213519192, 286.0243225, -29.1411266, 12.227, GO7086_LC|GO7028_LC
213571052, 283.0214233, -28.9663372, 11.679, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213600549, 286.7342834, -28.8688087, 11.492, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213635242, 289.6846313, -28.7552338, 12.001, GO7086_LC|GO7028_LC
213642832, 282.9467468, -28.7306995, 11.718, GO7030_LC|GO7021_LC|GO7087_LC|GO7028_LC
213645437, 281.877594, -28.7224636, 11.95, GO7030_LC|GO7087_LC|GO7028_LC
