# Summary of K2 Program GO7085

Title: K2 Exoplanet Ecliptic Survey - KEES

PI: Burke, Christopher J (SETI Institute)
CoIs: Mullally, Fergal; Huber, Daniel

For billions of years the Earth's shadow against the Sun has swept a path through space revealing our existence to our stellar neighbors within 0.26 degrees of the ecliptic.  We propose to survey all GKM dwarf stars within 0.26 degrees of the ecliptic using the K2 spacecraft in order to identify transiting planetary systems that can mutually discover Earth via transit observations performed by another civilization.  This survey will significantly expand the number of ecliptic aligned planets known from the two Jupiter-class planets (the hot-Jupiter, WASP-47b and the direct imaging, 5 Myr old 1RXS-J160929b) into the regime of Super-Earth size planets.  We will employ our extensive background in the analysis of Kepler data in order to search and provide a catalog of planet candidates from the K2 data within the ecliptic using tools and techniques developed for Kepler.  The primary goal is to generate a catalog of planet candidates for prioritization of SETI searches.  Secondary goals are to provide a well vetted sample of planet candidates to the community to follow up for asteroseismic or spectroscopic stellar characterization and radial velocity confirmation.  We estimate that ~1500 targets combining Campaign 6 and 7 targets will be proposed placing this proposal in the large proposal category.

# Targets requested by this program that have been observed (635)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
215560759, 282.1938782, -23.9668102, 13.365, GO7086_LC|GO7030_LC|GO7085_LC
215595067, 280.2140808, -23.9039497, 13.875, GO7086_LC|GO7085_LC
215614883, 280.1072083, -23.8682671, 12.018, GO7030_LC|GO7085_LC
215641574, 280.3013611, -23.8178215, 13.419, GO7086_LC|GO7085_LC
215642010, 280.2888489, -23.8170376, 13.675, GO7086_LC|GO7085_LC
215643237, 280.6541443, -23.8145542, 13.395, GO7086_LC|GO7085_LC
215645687, 283.4649658, -23.8098717, 12.56, GO7086_LC|GO7085_LC
215647487, 280.5080872, -23.8064632, 12.769, GO7030_LC|GO7085_LC
215651925, 280.7984619, -23.7978897, 12.574, GO7030_LC|GO7085_LC
215654646, 280.5372925, -23.7924976, 12.588, GO7030_LC|GO7085_LC
215660142, 284.1113586, -23.7818375, 12.729, GO7086_LC|GO7030_LC|GO7085_LC
215661056, 280.9074402, -23.7801342, 12.202, GO7030_LC|GO7085_LC
215671664, 284.3787231, -23.760067, 12.196, GO7030_LC|GO7085_LC|GO7028_LC
215671823, 280.4797668, -23.7597771, 12.181, GO7086_LC|GO7085_LC
215673460, 280.6290894, -23.7567806, 13.418, GO7086_LC|GO7085_LC
215673551, 280.3850403, -23.7566128, 11.98, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
215675320, 283.4848022, -23.7532196, 13.388, GO7086_LC|GO7030_LC|GO7085_LC
215678214, 280.8037415, -23.7477207, 12.704, GO7086_LC|GO7085_LC
215686732, 281.0920715, -23.7315006, 12.677, GO7086_LC|GO7030_LC|GO7085_LC
215688695, 280.2324219, -23.7277927, 13.969, GO7086_LC|GO7085_LC
215689237, 284.1939392, -23.7266884, 12.656, GO7030_LC|GO7085_LC
215694635, 280.5059509, -23.7163792, 13.656, GO7086_LC|GO7085_LC
215697372, 280.3448486, -23.7112999, 13.107, GO7030_LC|GO7085_LC
215703569, 285.1660156, -23.6996841, 11.754, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
215705498, 280.0532227, -23.6960773, 13.555, GO7030_LC|GO7085_LC
215705594, 280.5878601, -23.6959095, 13.619, GO7086_LC|GO7085_LC
215709873, 280.1574097, -23.6879158, 12.987, GO7030_LC|GO7085_LC
215716345, 280.0380859, -23.6755695, 12.805, GO7030_LC|GO7085_LC
215717300, 283.7559204, -23.6737576, 12.26, GO7030_LC|GO7085_LC
215717478, 284.0460815, -23.6734505, 11.843, GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
215717520, 280.7875061, -23.6733608, 12.92, GO7086_LC|GO7085_LC
215720390, 280.7962952, -23.6680927, 13.65, GO7086_LC|GO7030_LC|GO7085_LC
215728494, 280.4359741, -23.6526585, 11.874, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
215729257, 280.9624939, -23.6512299, 12.67, GO7086_LC|GO7085_LC
215733434, 280.3520813, -23.6432095, 12.756, GO7086_LC|GO7085_LC
215735320, 280.4562378, -23.6395378, 13.302, GO7030_LC|GO7085_LC
215735626, 280.8866272, -23.6389523, 12.997, GO7030_LC|GO7085_LC
215742030, 285.6553955, -23.6270008, 11.478, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
215743388, 280.3969727, -23.6244259, 12.824, GO7030_LC|GO7085_LC
215746984, 284.3892822, -23.6175404, 12.499, GO7086_LC|GO7030_LC|GO7085_LC|GO7032_LC
215748155, 280.6795349, -23.6153984, 12.739, GO7030_LC|GO7085_LC
215750601, 280.5353394, -23.6108093, 13.574, GO7086_LC|GO7030_LC|GO7085_LC
215753555, 283.3016968, -23.6052551, 12.886, GO7030_LC|GO7085_LC
215753986, 284.3240967, -23.6044712, 12.385, GO7030_LC|GO7085_LC
