# Summary of K2 Program GO7087

Title: Searching for small planets around bright F, G and K stars

PI: Dragomir, Diana (LCOGT)
CoIs: Lendl, Monika; Kane, Stephen R; Demory, Brice-Olivier; Gillon, Michael; Alonso, Roi

Summary and science goals: Many of the current transit surveys aiming to find small planets focus on M dwarf stars. While M dwarfs offer some unique advantages, it is important to search for, characterize and understand exoplanets smaller than Neptune around stars closer in spectral type to our own. We propose to use K2 to carry out a search for transits of small planets around bright F, G and K stars. Small planets in such systems will be well suited to follow-up with radial velocity in order to determine their masses thanks to the brightness of the host stars. Stars with spectral types from late F to K should have sufficiently low vsini values, but also lower activity levels than M stars, therefore being ideal for RV measurements. They will also be suitable targets for atmospheric studies, and will make up a valuable sample for understanding how the structures, atmospheric compositions and orbital properties of these planets vary as a function of stellar spectral type. Ultimately, these measurements will enable us to constrain the formation and evolution of these planetary systems.

Target selection and expected yield: For our target selection, we began with all stars from the EPIC that fall on silicon during campaigns 6 and 7. We only kept stars with Kepler magnitudes brighter than 12 to ensure the ability to obtain mass determinations for the expected small transiting planets using high resolution spectrographs such as HARPS and HIRES. These systems will also be sufficiently bright to be accessible to current and upcoming space telescopes such as the HST, Spitzer, JWST and CHEOPS. Using a B-V colour cut, we then filtered out stars of types earlier than mid-F (B-V < 0.5) and later than M (B-V > 1.4). We further removed likely giants and subgiants by filtering out stars with proper motions smaller than 4 mas/yr. Our final sample of targets includes 2134 and 6838 stars in campaigns 6 and 7, respectively. From occurrence studies based on Kepler statistics of small planets around FGK stars, we expect to discover of the order of 70 new small planets during campaigns 6 and 7 as part of this survey.

Methodology: The majority of the targets we propose will be saturated. However, it has been demonstrated on both Kepler and K2 data that high-precision photometry is achievable even for saturated stars by using larger, customized apertures to ensure collection of all the light bled down columns and into adjacent pixels. We will use a similar method to extract photometry for saturated stars. Because centroiding will be difficult for those targets, we will use the pixel position of a nearby star to de-correlate the pixel position from the target photometry, an important step in analysing K2 data.

Relevance to ROSES 2014 and K2 GO - Cycle 1 solicitations: This proposal addresses the following NASA and K2 objectives and motivations: understand how small exoplanets form and determine the incidence of planets able to support life in the Universe. Specifically, this program will provide numerous bright systems hosting small planets amenable to follow-up studies that, together with the K2 data, will place constraints on their formation. It will also assess the composition and diversity of small planets around solar-type stars, thereby contributing to our understanding of how common life is in the Universe.

# Targets requested by this program that have been observed (1061)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
213045572, 286.7112122, -31.0373192, 11.881, GO7086_LC|GO7030_LC|GO7087_LC
213072346, 286.5629883, -30.8989849, 11.888, GO7030_LC|GO7087_LC
213076986, 287.0383301, -30.8755989, 11.874, GO7030_LC|GO7087_LC
213089249, 286.1154785, -30.8158493, 11.772, GO7030_LC|GO7087_LC
213091707, 286.4685669, -30.8036137, 11.939, GO7030_LC|GO7087_LC|GO7028_LC
213106629, 287.0853271, -30.7327385, 11.882, GO7030_LC|GO7087_LC
213119248, 285.9854126, -30.6752243, 11.914, GO7030_LC|GO7087_LC|GO7028_LC
213139103, 286.7336121, -30.5858288, 11.946, GO7030_LC|GO7087_LC
213160885, 288.2096863, -30.4906387, 10.135, GO7086_LC|GO7016_LC|GO7087_LC|GO7028_LC|GO7030_LC
213189631, 287.2791443, -30.3703671, 9.858, GO7086_LC|GO7016_LC|GO7087_LC|GO7030_LC
213193684, 288.4983826, -30.3533211, 11.808, GO7030_LC|GO7087_LC|GO7028_LC
213193917, 286.1733704, -30.3524303, 11.976, GO7086_LC|GO7030_LC|GO7087_LC
213205043, 287.5249329, -30.3065243, 11.943, GO7030_LC|GO7016_LC|GO7087_LC
213223435, 288.4217834, -30.2303276, 11.529, GO7086_LC|GO7030_LC|GO7087_LC
213228420, 288.4612732, -30.2098465, 11.886, GO7086_LC|GO7030_LC|GO7087_LC
213230582, 286.1036987, -30.2008781, 11.009, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213231546, 285.8511353, -30.1969185, 10.899, GO7086_LC|GO7087_LC|GO7030_LC
213233520, 286.8558044, -30.189045, 11.744, GO7086_LC|GO7030_LC|GO7087_LC
213251240, 288.4921265, -30.1184444, 11.099, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
213251400, 286.8411865, -30.1177845, 9.952, GO7086_LC|GO7087_LC|GO7030_LC
213281578, 288.3629456, -29.9986095, 11.277, GO7086_LC|GO7030_LC|GO7087_LC
213296134, 289.6406555, -29.945406, 11.926, GO7030_LC|GO7087_LC
213301599, 286.5614624, -29.9255428, 11.758, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213307756, 289.6066589, -29.9036083, 11.798, GO7030_LC|GO7087_LC
213311176, 285.7033997, -29.8911781, 11.813, GO7030_LC|GO7087_LC
213311596, 288.15625, -29.8896503, 11.974, GO7030_LC|GO7087_LC
213319559, 286.852417, -29.8609276, 11.282, GO7086_LC|GO7030_LC|GO7087_LC
213320247, 286.8432007, -29.8584404, 11.423, GO7086_LC|GO7030_LC|GO7087_LC
213325618, 287.6929321, -29.8381824, 11.77, GO7030_LC|GO7087_LC|GO7028_LC
213327723, 290.223938, -29.8300896, 11.994, GO7030_LC|GO7016_LC|GO7087_LC
