# Summary of K2 Program GO8010

Title: Lightcurves of  Hilda asteroids: Tracing migrations in the early solar system

PI: Ryan, Erin Lee (Goddard Space Flight Center)
CoIs: Woodward, Charles E.

Studies of the small bodies of the solar system reveal important clues about the condensation and formation of planetesimal bodies, and ultimately planets in planetary systems. Dynamics of small bodies have been utilized to model giant planet migration within our solar system [1-5], colors have been used to explore compositional gradients within the protoplanetary disk [6-7], and studies of the size-frequency distribution of main belt asteroids may reveal compositional dependences on planetesimal strength which may limit models of planetary growth from collisional aggregration of planetesimals. Studies of the optical lightcurves of asteroids also yield important information on shape and potential binarity of asteroidal bodies.

Light curves of Hilda asteroids populations yield key information about the primordial shape and binary fraction of these small body populations. Milli-mag Kepler photometry will tightly constrain both of the latter characteristics. This population is in the stable 3:2 resonance with Jupiter at 4 AU and collisional frequencies within these populations are the lowest within inner solar system small body populations [8-9]. Results from the WISE survey suggest that  ~40% of Hilda asteroids are either extremely elongated objects, or are binaries[10]. Kepler optical light curves are required to confirm these controversial findings. Ground based optical surveys are not optimal for this type of photometric variability survey. Large amounts of observing time are required, and analysis of lightcurves obtained over a few nights is hampered by aliasing induced by limited photometric sampling over regularly spaced nightly intervals. Kepler however is ideal for this type of photometric survey of asteroid variability due to the photometric stability of the observing platform.

We have identified ~12 objects for study in the Hilda asteroid populations to be studied with Kepler in Campaigns 8 & 10 with magnitudes of m_V < 20. These objects are not stationary within the Kepler fields, rather they move across the field, resulting in a mean time in the Kepler field of view on active silicon of 40 days for our targets. We will utilize data obtained with the 30 minute Kepler cadence to determine rotational periods for our selected targets. The ratio of lightcurve amplitudes will subsequently be utilized to determine body elongation and/or binarity to test the results reported by the WISE survey.

References:

[1] Franklin, F.A. et al. 2004, Astronomical Journal, 128, 1391
[2] Gomes, R. et al. 2005, Nature, 435, 466
[3] Tsiganis, K. et al. 2005, Nature, 435, 459
[4] Morbidelli, A. et al. 2005, Nature, 435, 462
[5] Levison, H. et al. 2009, Nature, 460, 364
[6] Gradie, J. and Tedesco, E. 1982, Science, 216, 1405
[7] Carvano, J. et al. 2010, Astronomy & Astrophysics, 510, A43
[8] Dahlgren, M. 1998, Astronomy & Astrophysics, 336, 1056
[9] Dell'Oro, A. et al. 2001, Astronomy & Astrophysics, 366, 1053
[10] Sonnett, S. et al. 2014, astro-ph eprint arXiv:1412.1853

# Targets requested by this program that have been observed (4847)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200062957, , , , GO8010_LC|1999TJ90_TILE
200062958, , , , GO8010_LC|1999TJ90_TILE
200062959, , , , GO8010_LC|1999TJ90_TILE
200062960, , , , GO8010_LC|1999TJ90_TILE
200062961, , , , GO8010_LC|1999TJ90_TILE
200062962, , , , GO8010_LC|1999TJ90_TILE
200062963, , , , GO8010_LC|1999TJ90_TILE
200062964, , , , GO8010_LC|1999TJ90_TILE
200062965, , , , GO8010_LC|1999TJ90_TILE
200062966, , , , GO8010_LC|1999TJ90_TILE
200062967, , , , GO8010_LC|1999TJ90_TILE
200062968, , , , GO8010_LC|1999TJ90_TILE
200062969, , , , GO8010_LC|1999TJ90_TILE
200062970, , , , GO8010_LC|1999TJ90_TILE
200062971, , , , GO8010_LC|1999TJ90_TILE
200062972, , , , GO8010_LC|1999TJ90_TILE
200062973, , , , GO8010_LC|1999TJ90_TILE
200062974, , , , GO8010_LC|1999TJ90_TILE
200062975, , , , GO8010_LC|1999TJ90_TILE
200062976, , , , GO8010_LC|1999TJ90_TILE
200062977, , , , GO8010_LC|1999TJ90_TILE
200062978, , , , GO8010_LC|1999TJ90_TILE
200062979, , , , GO8010_LC|1999TJ90_TILE
200062980, , , , GO8010_LC|1999TJ90_TILE
200062981, , , , GO8010_LC|1999TJ90_TILE
200062982, , , , GO8010_LC|1999TJ90_TILE
200062983, , , , GO8010_LC|1999TJ90_TILE
200062984, , , , GO8010_LC|1999TJ90_TILE
200062985, , , , GO8010_LC|1999TJ90_TILE
200062986, , , , GO8010_LC|1999TJ90_TILE
200062987, , , , GO8010_LC|1999TJ90_TILE
200062988, , , , GO8010_LC|1999TJ90_TILE
200062989, , , , GO8010_LC|1999TJ90_TILE
200062990, , , , GO8010_LC|1999TJ90_TILE
200062991, , , , GO8010_LC|1999TJ90_TILE
200062992, , , , GO8010_LC|1999TJ90_TILE
200062993, , , , GO8010_LC|1999TJ90_TILE
200062994, , , , GO8010_LC|1999TJ90_TILE
200062995, , , , GO8010_LC|1999TJ90_TILE
200062996, , , , GO8010_LC|1999TJ90_TILE
200062997, , , , GO8010_LC|1999TJ90_TILE
200062998, , , , GO8010_LC|1999TJ90_TILE
200062999, , , , GO8010_LC|1999TJ90_TILE
200063000, , , , GO8010_LC|1999TJ90_TILE
200063001, , , , GO8010_LC|1999TJ90_TILE
200063002, , , , GO8010_LC|1999TJ90_TILE
200063003, , , , GO8010_LC|1999TJ90_TILE
200063004, , , , GO8010_LC|1999TJ90_TILE
200063005, , , , GO8010_LC|1999TJ90_TILE
200063006, , , , GO8010_LC|1999TJ90_TILE
200063007, , , , GO8010_LC|1999TJ90_TILE
200063008, , , , GO8010_LC|1999TJ90_TILE
200063009, , , , GO8010_LC|1999TJ90_TILE
200063010, , , , GO8010_LC|1999TJ90_TILE
200063011, , , , GO8010_LC|1999TJ90_TILE
200063012, , , , GO8010_LC|1999TJ90_TILE
200063013, , , , GO8010_LC|1999TJ90_TILE
200063014, , , , GO8010_LC|1999TJ90_TILE
200063015, , , , GO8010_LC|1999TJ90_TILE
200063016, , , , GO8010_LC|1999TJ90_TILE
