# Summary of K2 Program GO8042

Title: Galactic Archaeology on a grand scale

PI: Dennis Stello (University of Sydney)
CoIs: Pinsonneault, Marc Howard; Mathur, Savita; Miglio, Andrea; Freeman, Kenneth; Buzasi, Derek L; Sharma, Sanjib

MOTIVATION: Unravelling the evolutionary history of the Milky Way has been a long-standing problem in contemporary astrophysics, and solving this will have significant ramifications for our understanding of how other galaxies form and evolve. Success will depend on understanding the stars within our Galaxy: their role as its building blocks and the driver of its chemical evolution. This demands precise measurements of the fundamental properties of stars, something we have currently achieved mainly for the solar neighbourhood. Initial investigations in this new field of near-field cosmology  better known as Galactic Archaeology  has used Kepler and CoRoT data and shown that asteroseismically-determined radii, masses and ages of red giants have tremendous potential for expanding our view into how the Galaxy formed and evolved.

RELEVANCE: It is now clear that a lack of simple and easily reproducible selection criteria for the previous Kepler and CoRoT stellar samples hampers our ability to faithfully compare theoretical models with observations. A dedicated Galactic Archaeology program for K2 will avoid such limitations and in addition provides information on the Galactic morphology in directions complementary to those already probed by CoRoT and Kepler.

AIM: The proposal aims to observe a sizable number of colour-magnitude selected red giants (on average ~5000 per campaign) to probe the Galaxy far beyond the solar neighbourhood. This is a continuing program initiated during C1, and it is our intention to make similar proposals for all future K2 fields in order to probe Galactic directions not probed before,
taking advantage of K2s 360-degree view along the ecliptic. With this data we aim to build a comprehensive picture of the Galaxys structure and evolution from its stellar populations.

METHOLOGY: The K2 data will be used to determine radius, mass, and age of each star using asteroseismology, complemented by ground-based spectroscopy from large surveys targeting both hemispheres (APOGEE, GALAH, Gaia-ESO, and RAVE). We will use our seismic inferred stellar properties to stresstest state-of-the-art Galaxy models (Galaxia, TRILEGAL).


# Observed targets associated with this program (6186)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220131668, 17.0400124, -2.654249, 15.947, GO8012_LC|GO8042_LC|GO8031_LC
220135402, 17.1521893, -2.4802101, 13.932, GO8077_LC|GO8042_LC
220137077, 17.0736637, -2.4093831, 13.375, GO8042_LC
220138665, 17.1296177, -2.3412449, 14.03, GO8042_LC
220139037, 17.2227325, -2.325012, 14.394, GO8042_LC
220139666, 17.1592407, -2.3013849, 13.898, GO8077_LC|GO8042_LC
220140644, 17.2209911, -2.2625439, 10.805, GO8042_LC
220140731, 17.3779469, -2.259181, 13.266, GO8077_LC|GO8042_LC
220140752, 16.9895382, -2.2576101, 14.12, GO8012_LC|GO8042_LC
220142109, 17.4837551, -2.199506, 10.733, GO8077_LC|GO8042_LC
220142506, 17.0383759, -2.183166, 12.401, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220142862, 16.6982384, -2.167515, 13.224, GO8032_LC|GO8077_LC|GO8042_LC
220143169, 17.3319988, -2.1542721, 15.779, GO8012_LC|GO8042_LC
220143498, 16.6852818, -2.138875, 13.863, GO8032_LC|GO8042_LC
220143642, 17.1109066, -2.1328321, 11.962, GO8042_LC|GO8036_LC
220144271, 17.7817402, -2.1070919, 12.935, GO8068_LC|GO8032_LC|GO8042_LC
220144551, 16.9023628, -2.0959361, 14.729, GO8012_LC|GO8042_LC
220145226, 17.4840794, -2.0694549, 16.806, GO8012_LC|GO8042_LC
220145271, 17.3321953, -2.067606, 11.444, GO8042_LC|GO8036_LC
220145598, 17.142828, -2.0552371, 15.181, GO8042_LC|GO8031_LC
220145761, 16.6964359, -2.048964, 16.56, GO8070_LC|GO8042_LC
220145762, 17.3567562, -2.0489221, 12.774, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220146001, 17.105526, -2.0399799, 13.121, GO8042_LC
220146804, 16.6165981, -2.0116529, 14.052, GO8012_LC|GO8059_LC|GO8042_LC
220147852, 17.1504707, -1.97057, 16.294, GO8042_LC
220148737, 17.6642818, -1.937636, 12.426, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220148816, 13.0600729, -1.934534, 16.591, GO8042_LC
220149512, 17.8329411, -1.90957, 11.769, GO8042_LC
220149635, 16.8341141, -1.905843, 13.931, GO8042_LC|GO8036_LC
220150079, 18.1093349, -1.891085, 14.45, GO8042_LC|GO8031_LC
220150092, 18.1046028, -1.890563, 12.972, GO8068_LC|GO8077_LC|GO8042_LC
220150126, 16.8722687, -1.889379, 12.673, GO8068_LC|GO8077_LC|GO8042_LC
220150250, 13.032548, -1.884317, 16.993, GO8042_LC
220150508, 17.419508, -1.875561, 14.071, GO8042_LC
220150657, 13.1386251, -1.8710099, 12.914, GO8056_LC|GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220150734, 17.4199409, -1.868396, 15.14, GO8042_LC|GO8031_LC
220150787, 18.0041695, -1.866406, 11.54, GO8042_LC
220151493, 13.3518467, -1.841169, 11.827, GO8042_LC|GO8036_LC
220151591, 17.9490032, -1.837944, 11.49, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220151862, 17.9480877, -1.829602, 15.839, GO8042_LC|GO8031_LC
220152166, 16.7598686, -1.818374, 12.761, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220152336, 13.1553316, -1.8122129, 12.795, GO8042_LC|GO8036_LC
220152454, 17.0491943, -1.8072129, 11.708, GO8042_LC
220152847, 17.7306099, -1.791934, 13.199, GO8032_LC|GO8077_LC|GO8042_LC
220153589, 18.3363705, -1.763571, 14.097, GO8042_LC
220153631, 13.4963484, -1.761669, 14.196, GO8012_LC|GO8042_LC
220153645, 17.3831825, -1.760887, 11.074, GO8042_LC
220153656, 13.1305056, -1.76052, 16.526, GO8042_LC
220153795, 17.4064903, -1.756265, 12.781, GO8042_LC|GO8036_LC
220153996, 16.8970127, -1.748444, 13.165, GO8032_LC|GO8077_LC|GO8042_LC
220154152, 13.5380669, -1.742883, 13.818, GO8032_LC|GO8077_LC|GO8042_LC
220154477, 17.6009865, -1.731578, 12.759, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220154535, 18.3372021, -1.729341, 9.813, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8042_LC
220154802, 17.3884068, -1.72001, 14.231, GO8042_LC
220154832, 17.9754906, -1.718694, 13.32, GO8042_LC
220154997, 18.1508942, -1.7119091, 14.134, GO8042_LC
220155452, 17.7619953, -1.6958899, 14.148, GO8032_LC|GO8042_LC
220155521, 17.4916782, -1.693179, 14.659, GO8012_LC|GO8042_LC
220155590, 13.1545467, -1.690941, 13.65, GO8077_LC|GO8042_LC
220155613, 17.6064415, -1.690374, 15.945, GO8012_LC|GO8042_LC
220155692, 17.0379848, -1.687752, 9.529, GO8066_LC|GO8042_LC
220156165, 17.4921703, -1.671193, 14.047, GO8042_LC
220156418, 17.6164951, -1.662238, 16.65, GO8042_LC
220156438, 18.3556538, -1.6616369, 14.174, GO8042_LC
220156588, 12.9053259, -1.656045, 14.069, GO8042_LC
220157156, 16.4199505, -1.636658, 13.889, GO8077_LC|GO8042_LC
220157170, 17.1019421, -1.63614, 10.496, GO8066_LC|GO8042_LC
220157195, 16.7042465, -1.6351449, 15.398, GO8042_LC|GO8031_LC
220157353, 18.2018776, -1.630296, 13.745, GO8077_LC|GO8042_LC|GO8036_LC
220157445, 17.5660152, -1.6269259, 14.034, GO8042_LC
220157465, 18.1577282, -1.626044, 13.984, GO8042_LC
220157498, 17.1205711, -1.624853, 13.434, GO8077_LC|GO8042_LC
220157961, 17.4529076, -1.608402, 12.599, GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220158024, 13.2281952, -1.6064529, 12.848, GO8042_LC
220158076, 17.5174732, -1.604867, 13.74, GO8077_LC|GO8042_LC
220158092, 18.1400757, -1.6044329, 13.377, GO8056_LC|GO8032_LC|GO8042_LC
220158109, 17.1811428, -1.603907, 13.211, GO8056_LC|GO8032_LC|GO8042_LC
220158154, 13.2223797, -1.602795, 11.824, GO8042_LC
220158164, 13.0249472, -1.602626, 14.06, GO8042_LC
220158230, 13.6631489, -1.600641, 16.864, GO8070_LC|GO8042_LC
220158531, 18.0302753, -1.591022, 12.579, GO8042_LC
