# Summary of K2 Program GO8051

Title: Planets Around Low-Metallicity Stars

PI: Cochran, William D. (The University of Texas at Austin)
CoIs: Paetzold, Martin; Lee, Byeong-Cheol; Yong, David; Hatzes, Artie; Endl, Michael; Rauer, Heike

Objectives:
A major result from surveys for extrasolar planets that has dramatically shaped our thinking about the formation of planetary systems is the very strong tendency for gas-giant planets to be found around metal-rich stars.  This trend is not seen, however, around super-Earth and Earth-size planets (Buchhave et al 2013).  We propose to search a large sample of sub-solar metallicity stars in K2 GO Cycle 3 fields 8 and 10 for transiting planets of all sizes.  Stars in this metallicity range fall into three populations: the thin-disk (which also extends into super-solar metallicity), the thick-disk, and the halo (which extends to extremely metal poor stars). These three populations differ both kinematically and chemically.  Thick disk stars exhibit a larger vertical scale height in the galactic orbits, and they also show alpha-capture element abundances enhanced by about a factor of two over thin-disk stars.  Halo stars show even more extreme kinematics and also exhibit significant enhancement of alpha-capture elements.  The discovery of the Kepler-444 system (Campante et al 2015), which comprises five sub-Earth size planets orbiting an ancient (11.2 Gy age) thick-disk star with significantly sub-solar metallicity ([Fe=H]=-0.69 +/- 0.09 dex) shows that planet formation started very early in the history of the galaxy.  We will compute planet occurrence rates for stars as a function of stellar metallicity, stellar population and of planet radius.  For stellar metallicity, we will consider not just the standard [Fe/H] abundance, but also the abundance of the very important alpha-capture elements.  The goal of our program is to determine the characteristics of the first stars in our Galaxy to form potentially habitable planetary systems.

Methodology:
We have assembled a large, diverse and highly experienced international team for this investigation.  The DLR group (led by Dr. H. Rauer) will extract the K2 photometry and model the light curves.  The Cologne group (led by Dr. M.  Paetzold)  will search the light curves for planetary transit signatures.  The groups at Texas (led by proposal PI Dr. W. Cochran) and at KASI (led by Dr.  B.-C. Lee) will conduct extensive followup observations including ground-based photometry, high precision RV measurement, high resolution optical and near-IR spectroscopy in order to confirm the planetary candidates and Doppler tomographic analysis of any rapidly rotating planetary candidates.  The group at Australian National University (led by Dr. D. Yong) will perform detailed spectral analysis of our follow-up data in order to derive stellar parameters and chemical abundances.  and will perform Doppler tomographic analysis of any rapidly rotating planetary candidates.

Targets:
We will propose a large sample of approximately 2000 targets.  Stellar metallicities range from [Fe/H]=-1.2 to solar. The stars range in V magnitude from 5.7 to 12.6, with most of the targets in the range 10 < V < 12. Thus, according to Aigrain et al (2015, MNRAS, 247, 2880) we expect to obtain a 6.5 hour CDPP of about 80 ppm or better.

Relevance:
We are searching for new exoplanetary systems. These results will provide important new constraints on the physics and chemistry of planetary system formation, as well as provide constraints for the computation of planet occurrence rates. We will address the Kepler mission goals of obtaining an inventory of the diversity of planetary systems around sun-like stars. We will also obtain data very complementary to the goals of the TESS program, and help guide planetary system science for JWST studies.

# Targets requested by this program that have been observed (886)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220145469, 17.1335773, -2.0599329, 8.165, GO8051_LC|GO8077_LC|GO8031_LC|GO8028_LC
220147388, 17.8170242, -1.988471, 8.82, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220150121, 13.327527, -1.889565, 9.812, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220152340, 17.5936069, -1.812121, 11.621, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220153240, 17.4067097, -1.77661, 9.755, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220154408, 16.6626949, -1.733961, 11.899, GO8068_LC|GO8051_LC|GO8077_LC
220154470, 16.7957954, -1.732082, 7.285, GO8013_LC|GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220154535, 18.3372021, -1.729341, 9.813, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8042_LC
220158274, 17.5245609, -1.599106, 9.452, GO8051_LC|GO8032_LC|GO8077_LC|GO8002_LC|GO8028_LC
220158542, 13.2820663, -1.590642, 11.75, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220159551, 13.7065039, -1.557497, 9.383, GO8051_LC|GO8077_LC|GO8031_LC
220159844, 16.3847599, -1.5480371, 11.543, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220160375, 17.9241409, -1.531002, 10.865, GO8068_LC|GO8051_LC|GO8077_LC
220161982, 18.2511024, -1.478164, 10.76, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220162883, 18.0952263, -1.450775, 11.497, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220163573, 18.6215763, -1.428398, 10.321, GO8051_LC|GO8032_LC|GO8042_LC
220163853, 17.0502453, -1.419813, 10.12, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220164883, 12.8477659, -1.3865139, 9.714, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220164920, 12.944891, -1.385024, 10.987, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220165709, 12.6499939, -1.360906, 11.358, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220167503, 14.1468763, -1.303212, 11.095, GO8068_LC|GO8051_LC|GO8077_LC
220168379, 17.8032856, -1.274353, 8.264, GO8051_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220169807, 18.8276482, -1.21822, 10.744, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220171315, 16.8935642, -1.148271, 10.308, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220171907, 18.3377495, -1.122447, 11.853, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220171920, 16.8905182, -1.121654, 10.031, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220172257, 13.1021843, -1.10669, 10.087, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220172748, 13.0359497, -1.0854959, 10.905, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220173278, 18.2449627, -1.060686, 10.75, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC
220173526, 15.9724226, -1.0501471, 9.73, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
