# Summary of K2 Program GO9001

Title: Superaperture masks for microlensing

PI: Microlensing Science Team, K2 (NASA)
CoIs: 



# Targets requested by this program that have been observed (1748)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200069411, , , , GO9001_LC
200069412, , , , GO9001_LC
200069413, , , , GO9001_LC
200069414, , , , GO9001_LC
200069415, , , , GO9001_LC
200069416, , , , GO9001_LC
200069417, , , , GO9001_LC
200069418, , , , GO9001_LC
200069419, , , , GO9001_LC
200069420, , , , GO9001_LC
200069421, , , , GO9001_LC
200069422, , , , GO9001_LC
200069423, , , , GO9001_LC
200069424, , , , GO9001_LC
200069425, , , , GO9001_LC
200069426, , , , GO9001_LC
200069427, , , , GO9001_LC
200069428, , , , GO9001_LC
200069429, , , , GO9001_LC
200069430, , , , GO9001_LC
200069431, , , , GO9001_LC
200069432, , , , GO9001_LC
200069433, , , , GO9001_LC
200069434, , , , GO9001_LC
200069435, , , , GO9001_LC
200069436, , , , GO9001_LC
200069437, , , , GO9001_LC
200069438, , , , GO9001_LC
200069439, , , , GO9001_LC
200069440, , , , GO9001_LC
200069441, , , , GO9001_LC
200069442, , , , GO9001_LC
200069443, , , , GO9001_LC
200069444, , , , GO9001_LC
200069445, , , , GO9001_LC
200069446, , , , GO9001_LC
200069447, , , , GO9001_LC
200069448, , , , GO9001_LC
200069449, , , , GO9001_LC
200069450, , , , GO9001_LC
200069451, , , , GO9001_LC
200069452, , , , GO9001_LC
200069453, , , , GO9001_LC
200069454, , , , GO9001_LC
200069455, , , , GO9001_LC
200069456, , , , GO9001_LC
200069457, , , , GO9001_LC
200069458, , , , GO9001_LC
200069459, , , , GO9001_LC
200069460, , , , GO9001_LC
200069461, , , , GO9001_LC
200069462, , , , GO9001_LC
200069463, , , , GO9001_LC
200069464, , , , GO9001_LC
200069465, , , , GO9001_LC
200069466, , , , GO9001_LC
200069467, , , , GO9001_LC
200069468, , , , GO9001_LC
200069469, , , , GO9001_LC
200069470, , , , GO9001_LC
200069471, , , , GO9001_LC
200069472, , , , GO9001_LC
200069473, , , , GO9001_LC
200069474, , , , GO9001_LC
200069475, , , , GO9001_LC
200069476, , , , GO9001_LC
200069477, , , , GO9001_LC
200069478, , , , GO9001_LC
200069479, , , , GO9001_LC
200069480, , , , GO9001_LC
200069481, , , , GO9001_LC
200069482, , , , GO9001_LC
200069483, , , , GO9001_LC
200069484, , , , GO9001_LC
200069485, , , , GO9001_LC
200069486, , , , GO9001_LC
200069487, , , , GO9001_LC
200069488, , , , GO9001_LC
200069489, , , , GO9001_LC
200069490, , , , GO9001_LC
200069491, , , , GO9001_LC
200069492, , , , GO9001_LC
200069493, , , , GO9001_LC
200069494, , , , GO9001_LC
200069495, , , , GO9001_LC
200069496, , , , GO9001_LC
200069497, , , , GO9001_LC
200069498, , , , GO9001_LC
200069499, , , , GO9001_LC
200069500, , , , GO9001_LC
200069501, , , , GO9001_LC
200069502, , , , GO9001_LC
200069503, , , , GO9001_LC
200069504, , , , GO9001_LC
200069505, , , , GO9001_LC
200069506, , , , GO9001_LC
200069507, , , , GO9001_LC
200069508, , , , GO9001_LC
200069509, , , , GO9001_LC
200069510, , , , GO9001_LC
200069511, , , , GO9001_LC
200069512, , , , GO9001_LC
