# Summary of K2 Program GO9004

Title: Ongoing microlensing events selected for the first half of Campaign 9 (C9a)

PI: Microlensing Science Team, K2 C9 (NASA)
CoIs: 



# Targets requested by this program that have been observed (162)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200071180, , , , GO9004_LC
200071181, , , , GO9004_LC
200071182, , , , GO9004_LC
200071183, , , , GO9004_LC
200071184, , , , GO9004_LC
200071185, , , , GO9004_LC
200071186, , , , GO9004_LC
200071187, , , , GO9004_LC
200071188, , , , GO9004_LC
200071189, , , , GO9004_LC
200071190, , , , GO9004_LC
200071191, , , , GO9004_LC
200071192, , , , GO9004_LC
200071193, , , , GO9004_LC
200071194, , , , GO9004_LC
200071195, , , , GO9004_LC
200071196, , , , GO9004_LC
200071197, , , , GO9004_LC
200071198, , , , GO9004_LC
200071199, , , , GO9004_LC
200071200, , , , GO9004_LC
200071201, , , , GO9004_LC
200071202, , , , GO9004_LC
200071203, , , , GO9004_LC
200071204, , , , GO9004_LC
200071205, , , , GO9004_LC
200071206, , , , GO9004_LC
200071207, , , , GO9004_LC
200071208, , , , GO9004_LC
200071209, , , , GO9004_LC
200071210, , , , GO9004_LC
200071211, , , , GO9004_LC
200071212, , , , GO9004_LC
200071213, , , , GO9004_LC
200071214, , , , GO9004_LC
200071215, , , , GO9004_LC
200071216, , , , GO9004_LC
200071217, , , , GO9004_LC
200071218, , , , GO9004_LC
200071219, , , , GO9004_LC
200071220, , , , GO9004_LC
200071221, , , , GO9004_LC
200071222, , , , GO9004_LC
200071223, , , , GO9004_LC
200071224, , , , GO9004_LC
200071225, , , , GO9004_LC
200071226, , , , GO9004_LC
200071227, , , , GO9004_LC
200071228, , , , GO9004_LC
200071229, , , , GO9004_LC
200071230, , , , GO9004_LC
200071231, , , , GO9004_LC
200071232, , , , GO9004_LC
200071233, , , , GO9004_LC
200071234, , , , GO9004_LC
200071235, , , , GO9004_LC
200071236, , , , GO9004_LC
200071237, , , , GO9004_LC
200071238, , , , GO9004_LC
200071239, , , , GO9004_LC
200071240, , , , GO9004_LC
200071241, , , , GO9004_LC
200071242, , , , GO9004_LC
200071243, , , , GO9004_LC
200071244, , , , GO9004_LC
200071245, , , , GO9004_LC
200071246, , , , GO9004_LC
200071247, , , , GO9004_LC
200071248, , , , GO9004_LC
200071249, , , , GO9004_LC
200071250, , , , GO9004_LC
200071251, , , , GO9004_LC
200071252, , , , GO9004_LC
200071253, , , , GO9004_LC
200071254, , , , GO9004_LC
200071255, , , , GO9004_LC
200071256, , , , GO9004_LC
200071257, , , , GO9004_LC
200071258, , , , GO9004_LC
200071259, , , , GO9004_LC
200071260, , , , GO9004_LC
200071261, , , , GO9004_LC
200071262, , , , GO9004_LC
200071263, , , , GO9004_LC
200071264, , , , GO9004_LC
200071265, , , , GO9004_LC
200071266, , , , GO9004_LC
200071267, , , , GO9004_LC
200071268, , , , GO9004_LC
200071269, , , , GO9004_LC
200071270, , , , GO9004_LC
200071271, , , , GO9004_LC
200071272, , , , GO9004_LC
200071273, , , , GO9004_LC
200071274, , , , GO9004_LC
200071275, , , , GO9004_LC
200071276, , , , GO9004_LC
200071277, , , , GO9004_LC
200071278, , , , GO9004_LC
200071279, , , , GO9004_LC
200071280, , , , GO9004_LC
200071281, , , , GO9004_LC
200071282, , , , GO9004_LC
200071283, , , , GO9004_LC
200071284, , , , GO9004_LC
200071285, , , , GO9004_LC
200071286, , , , GO9004_LC
200071287, , , , GO9004_LC
200071288, , , , GO9004_LC
200071289, , , , GO9004_LC
200071290, , , , GO9004_LC
200071291, , , , GO9004_LC
200071292, , , , GO9004_LC
200071293, , , , GO9004_LC
200071294, , , , GO9004_LC
200071295, , , , GO9004_LC
200071296, , , , GO9004_LC
200071297, , , , GO9004_LC
200071298, , , , GO9004_LC
200071299, , , , GO9004_LC
200071300, , , , GO9004_LC
200071301, , , , GO9004_LC
200071302, , , , GO9004_LC
200071303, , , , GO9004_LC
200071304, , , , GO9004_LC
200071305, , , , GO9004_LC
200071306, , , , GO9004_LC
200071307, , , , GO9004_LC
200071308, , , , GO9004_LC
200071309, , , , GO9004_LC
200071310, , , , GO9004_LC
200071311, , , , GO9004_LC
200071312, , , , GO9004_LC
200071313, , , , GO9004_LC
200071314, , , , GO9004_LC
200071315, , , , GO9004_LC
200071316, , , , GO9004_LC
200071317, , , , GO9004_LC
200071318, , , , GO9004_LC
200071319, , , , GO9004_LC
200071320, , , , GO9004_LC
200071321, , , , GO9004_LC
200071322, , , , GO9004_LC
200071323, , , , GO9004_LC
200071324, , , , GO9004_LC
200071325, , , , GO9004_LC
200071326, , , , GO9004_LC
200071327, , , , GO9004_LC
200071328, , , , GO9004_LC
200071329, , , , GO9004_LC
200071330, , , , GO9004_LC
200071331, , , , GO9004_LC
200071332, , , , GO9004_LC
200071333, , , , GO9004_LC
200071334, , , , GO9004_LC
200071335, , , , GO9004_LC
200071336, , , , GO9004_LC
200071337, , , , GO9004_LC
200071338, , , , GO9004_LC
200071339, , , , GO9004_LC
200071340, , , , GO9004_LC
200071341, , , , GO9004_LC
