# Summary of K2 Program GO9923

Title: Asteroseismology of the Brightest K2 Stars

PI: White, Timothy (Stellar Astrophysics Centre, Aarhus University)
CoIs: 



# Targets requested by this program that have been observed (33)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200069357, , , , GO9923_LC
200069358, , , , GO9923_LC
200069359, , , , GO9923_LC
200069360, , , , GO9923_LC
200069361, , , , GO9923_LC
200069362, , , , GO9923_LC
200069363, , , , GO9923_LC
200069364, , , , GO9923_LC
200069365, , , , GO9923_LC
200069366, , , , GO9923_LC
200069367, , , , GO9923_LC
200069368, , , , GO9923_LC
200069369, , , , GO9923_LC
200069370, , , , GO9923_LC
200069371, , , , GO9923_LC
200069372, , , , GO9923_LC
200069373, , , , GO9923_LC
200069374, , , , GO9923_LC
200069375, , , , GO9923_LC
200069376, , , , GO9923_LC
200069377, , , , GO9923_LC
200069378, , , , GO9923_LC
200069379, , , , GO9923_LC
200069380, , , , GO9923_LC
200071159, , , , GO9923_SC
222498720, 275.088153, -27.407709, 6.965, GO9923_LC
222583990, 268.392594, -27.282646, 6.949, GO9923_LC
223370117, 275.301699, -26.085116, 6.921, GO9923_LC
225102663, 273.260399, -23.117282, 6.964, GO9923_LC
225330052, 270.757135, -22.718491, 6.863, GO9923_LC
226361653, 270.655498, -20.737627, 6.876, GO9923_LC
227249894, 274.680252, -18.619671, 6.875, GO9923_LC
227307730, 274.594612, -18.475641, 6.916, GO9923_LC
