MORC to RA, DEC conversion for the 4 Seasons of Kepler	
Jeffrey Van Cleve & Steve Bryson, Kepler Science Office	
07/08/09                                                                    Spring                            Summer                           Fall                         Winter                         Spring, again
      mod             out              row              column        RA              DEC              RA             DEC             RA              DEC              RA             DEC               RA              DEC     
   2.0000000e+00   1.0000000e+00   2.5000000e+01   1.7000000e+01   2.8211889e+02   4.5119822e+01   2.8947289e+02   3.8473114e+01   2.9894638e+02   4.3260572e+01   2.9213641e+02   5.0511554e+01   2.8211889e+02   4.5119823e+01
   2.0000000e+00   1.0000000e+00   2.5000000e+01   1.1060000e+03   2.8317297e+02   4.4179651e+01   2.9076254e+02   3.9133467e+01   2.9817875e+02   4.4327798e+01   2.9055130e+02   4.9866418e+01   2.8317297e+02   4.4179651e+01
   2.0000000e+00   1.0000000e+00   5.3500000e+02   5.5000000e+02   2.8202335e+02   4.4308557e+01   2.9049468e+02   3.8326532e+01   2.9926974e+02   4.4040259e+01   2.9087957e+02   5.0673126e+01   2.8202335e+02   4.4308558e+01
   2.0000000e+00   1.0000000e+00   1.0380000e+03   1.7000000e+01   2.8089999e+02   4.4410984e+01   2.9025459e+02   3.7539363e+01   3.0032497e+02   4.3762146e+01   2.9119108e+02   5.1458727e+01   2.8089999e+02   4.4410985e+01
   2.0000000e+00   1.0000000e+00   1.0380000e+03   1.1060000e+03   2.8196064e+02   4.3481211e+01   2.9153566e+02   3.8191058e+01   2.9957633e+02   4.4839331e+01   2.8958601e+02   5.0800726e+01   2.8196064e+02   4.3481210e+01
   2.0000000e+00   2.0000000e+00   2.5000000e+01   1.7000000e+01   2.8420322e+02   4.3220023e+01   2.9209022e+02   3.9785215e+01   2.9737539e+02   4.5400731e+01   2.8899266e+02   4.9193974e+01   2.8420321e+02   4.3220023e+01
   2.0000000e+00   2.0000000e+00   2.5000000e+01   1.1060000e+03   2.8318345e+02   4.4170098e+01   2.9077570e+02   3.9140065e+01   2.9817085e+02   4.4338559e+01   2.9053549e+02   4.9859792e+01   2.8318345e+02   4.4170098e+01
   2.0000000e+00   2.0000000e+00   5.3500000e+02   5.5000000e+02   2.8309693e+02   4.3338861e+01   2.9183310e+02   3.8995759e+01   2.9847309e+02   4.5143954e+01   2.8925659e+02   4.9989870e+01   2.8309693e+02   4.3338861e+01
   2.0000000e+00   2.0000000e+00   1.0380000e+03   1.7000000e+01   2.8299918e+02   4.2532366e+01   2.9285293e+02   3.8834934e+01   2.9879127e+02   4.5922270e+01   2.8801065e+02   5.0114366e+01   2.8299918e+02   4.2532365e+01
   2.0000000e+00   2.0000000e+00   1.0380000e+03   1.1060000e+03   2.8197119e+02   4.3471764e+01   2.9154872e+02   3.8197573e+01   2.9956863e+02   4.4850192e+01   2.8957002e+02   5.0793965e+01   2.8197119e+02   4.3471764e+01
