# Summary of K2 Program GO8001

Title: AGN Variability Studies with Kepler K2 Campaigns 8 and 10

PI: Rick Edelson (University of Maryland, College Park)
CoIs: Horne, Keith; Stern, Daniel K; Vaughan, Simon; Malkan, Matthew A; McHardy, Ian

Kepler's unprecedented precision, sampling, and duty cycle is revolutionizing the study of AGN optical variability, providing the first observation of a break in the optical PSD of a Seyfert 1 galaxy and clarification of the nature of microvariability in blazars.  Campaign 10 includes two important AGN.  We propose to combine simultaneous SC and X-ray monitoring of the blazar 3C 273 to measure the interband correlation and test the standard synchrotron self-Compton model.  We will use simultaneous LC and Swift UVOT monitoring of the Seyfert 1 galaxy NGC 4593 to perform reverberation mapping of the accretion disk.  We also propose LC monitoring of 201 other AGN/AGN candidates in Campaigns 8 and 10 as part of our program to observe hundreds of AGN throughout the K2 mission.  This will vastly improve the statistical leverage for characterizing AGN optical variability.


# Observed targets associated with this program (85)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220139324, 17.5678272, -2.3140759, 17.065, GO8065_LC|GO8001_LC
220141131, 17.1505566, -2.24224, 17.916, GO8001_LC|GO8005_LC
220160562, 16.2257576, -1.5250649, 17.614, GO8001_LC
220167782, 12.7148094, -1.293398, 16.877, GO8001_LC|GO8005_LC
220172757, 13.4276476, -1.085149, 17.167, GO8001_LC
220175559, 17.2292747, -0.963088, 17.951, GO8001_LC|GO8005_LC|GO8052_LC
220184047, 12.8767004, -0.62423, 16.831, GO8001_LC
220184071, 17.1117725, -0.623413, 17.844, GO8001_LC|GO8005_LC|GO8052_LC
220185768, 16.4197102, -0.553837, 17.81, GO8001_LC|GO8052_LC
220189968, 16.7728195, -0.38741, 17.517, GO8001_LC
220190077, 12.4355497, -0.383564, 17.108, GO8001_LC
220191211, 13.6107216, -0.338921, 17.484, GO8001_LC|GO8005_LC
220194937, 19.9550076, -0.1944, 17.713, GO8001_LC
220196273, 19.8711014, -0.144326, 17.218, GO8001_LC|GO8005_LC
220200309, 15.3561335, 0.007538, 17.244, GO8001_LC
220200310, 19.2650032, 0.007615, 15.655, GO8070_LC|GO8001_LC|GO8005_LC
220202570, 14.2826166, 0.088906, 17.609, GO8001_LC|GO8005_LC
220204169, 19.8869381, 0.143689, 17.994, GO8001_LC
220204224, 16.0381851, 0.145525, 17.295, GO8001_LC|GO8005_LC
220204569, 12.5939693, 0.157724, 17.463, GO8001_LC|GO8005_LC
220205720, 15.5245552, 0.199186, 17.15, GO8001_LC|GO8005_LC|GO8052_LC
220207878, 15.0096464, 0.278469, 17.594, GO8001_LC|GO8005_LC|GO8006_LC|GO8052_LC
220211954, 15.9280577, 0.427038, 17.406, GO8001_LC|GO8005_LC|GO8052_LC
220212151, 17.7471466, 0.433657, 15.149, GO8070_LC|GO8001_LC
220216746, 13.0231848, 0.593951, 17.024, GO8001_LC|GO8005_LC|GO8052_LC
220216816, 13.0023193, 0.597048, 17.62, GO8001_LC
220217317, 11.7225151, 0.615217, 16.345, GO8001_LC
220217645, 15.9685869, 0.627763, 17.691, GO8001_LC|GO8005_LC|GO8052_LC
220222418, 18.6304417, 0.791731, 17.547, GO8001_LC
220226509, 11.9495926, 0.936131, 17.459, GO8001_LC
220229343, 19.5332088, 1.03128, 17.832, GO8001_LC
220229345, 11.0194635, 1.031357, 16.887, GO8001_LC
220230533, 11.556407, 1.073814, 17.974, GO8001_LC|GO8005_LC|GO8052_LC
220231654, 11.5428629, 1.112231, 17.552, GO8001_LC
220232570, 18.8981247, 1.144331, 15.741, GO8001_LC
220233889, 11.0376501, 1.191696, 17.234, GO8001_LC|GO8005_LC
220235246, 21.7605095, 1.236812, 17.948, GO8001_LC|GO8052_LC
220235527, 10.812973, 1.245959, 17.607, GO8001_LC|GO8005_LC|GO8052_LC
220239610, 16.5798073, 1.338563, 17.834, GO8001_LC
220247682, 19.7917824, 1.524434, 17.625, GO8001_LC|GO8005_LC
220249473, 11.0203114, 1.561901, 16.685, GO8001_LC|GO8005_LC
220252808, 15.3699436, 1.629042, 17.911, GO8001_LC|GO8005_LC
220254143, 19.862442, 1.656597, 16.824, GO8070_LC|GO8001_LC
220255178, 13.1402979, 1.678073, 17.466, GO8001_LC|GO8005_LC|GO8052_LC
220256458, 19.8561192, 1.704321, 16.648, GO8070_LC|GO8001_LC
220266043, 17.6396694, 1.912829, 17.149, GO8001_LC
220272000, 15.7848358, 2.0386541, 17.771, GO8001_LC|GO8005_LC
220272641, 15.4021587, 2.0529511, 17.929, GO8001_LC|GO8005_LC|GO8052_LC
220279334, 15.2255087, 2.1933999, 17.012, GO8001_LC|GO8005_LC
220285142, 18.2450771, 2.319299, 17.272, GO8001_LC
220286644, 15.8041382, 2.3527589, 17.145, GO8065_LC|GO8001_LC
220287560, 18.4297829, 2.3714559, 15.094, GO8001_LC|GO8005_LC
220293489, 18.0707817, 2.4965501, 17.478, GO8001_LC|GO8005_LC
220294152, 23.2157478, 2.5105231, 17.071, GO8070_LC|GO8001_LC
220294206, 22.5757504, 2.5117309, 17.587, GO8070_LC|GO8001_LC
220296526, 21.4325142, 2.557394, 16.947, GO8070_LC|GO8001_LC
220298528, 18.6068134, 2.5983889, 17.614, GO8001_LC
220298574, 11.5994654, 2.5994201, 17.025, GO8070_LC|GO8001_LC
220299575, 13.2807159, 2.6204519, 17.731, GO8070_LC|GO8001_LC
220311117, 14.2955294, 2.8743501, 17.226, GO8001_LC|GO8005_LC
220330119, 22.1819439, 3.2805829, 17.788, GO8001_LC|GO8005_LC
220332681, 11.7746553, 3.3318951, 15.181, GO8001_LC|GO8005_LC
220334557, 9.9531183, 3.3718081, 17.637, GO8001_LC
220338523, 21.7003899, 3.451972, 16.899, GO8001_LC
220361578, 11.4115191, 3.9340651, 17.674, GO8001_LC
220373350, 11.4467487, 4.1731868, 15.753, GO8001_LC|GO8005_LC
220399063, 12.6407557, 4.6970038, 16.586, GO8070_LC|GO8001_LC|GO8042_LC
220419730, 22.1525631, 5.0996799, 17.993, GO8001_LC
