# Summary of K2 Program GO8059

Title: The effect of wide binaries on planet occurrence - K2 Cycle 3

PI: Niall R Deacon (University of Hertfordshire)
CoIs: Mann, Andrew Withycombe; Kraus, Adam L

The effect of wide binaries on planet occurrence - K2 Campaigns 8 and 10

We plan to observe a sample of wide binaries spread across the K2 fields to constrain the effect of wide multiplicity on planet occurrence and to provide benchmark systems for gyrochronology.

Science Goal 1: Probe the effect of wide multiplicity on planet occurrence. Wide companions are common in the field; Raghavan et al (2010) found that >20% of solar-type stars have a companion wider than 100AU. Any link between planet occurrence and wide multiplicity will have a significant effect on the number of habitable planets in the Galaxy. We propose to test the disruption of planetary systems caused by a wide companion proposed by Kaib et al. (2013).  In this theory, wide companions interact with field stars and are sent into elliptical orbits bringing them close to their primary star, possibly close enough to disrupt a planetary system. This could eject planets from the system or provide an instigator for migration, moving giant planets closer to their parent star. Over the course of the next two years we will target approximately 1000 stars across the 10 K2 fields yielding approximately 20 planets. This will allow us to measure the occurrence of short period planets around stars in wide binaries and to test whether this deviates significantly from the field population. This will constrain the potential systematic bias on planet occurrence rates caused by multiplicity. Kepler has already been used to accurately measure the rotation periods of thousands of stars. 


Science Goal 2: Provide benchmark gyrochronology systems. Wide binary systems contain stars which are physically isolated from each other yet share common metallicity and age. This means that the stars in these systems can be used to test age relations, which should give similar ages for both components. 


By including wide binary components as Kepler targets, we will produce a valuable legacy product to test and recalibrate gyrochronology relations allowing the ages of field stars to be better constrained.

Target Selection. We will use the proper motion catalogue produced by Kraus et al. (2014) based on the methods of Kraus & Hillenbrand (2007) including proper motions, estimated spectral types and distance moduli from SED fitting. We will select objects in both Fields 8 and 10 with significant (>5sigma) proper motions above 30mas/yr. From these we will select pairs of widely separated objects with common proper motion and distance.  To remove contamination due to coincident pairings of unrelated field stars, we will plot a histogram similar to the one we constructed for field 6 of pair separation. From this we will select pairs which lie in the region dominated by true physical pairs.


# Observed targets associated with this program (185)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220146804, 16.6165981, -2.0116529, 14.052, GO8012_LC|GO8059_LC|GO8042_LC
220157953, 17.4572372, -1.608523, 15.965, GO8059_LC|GO8031_LC
220162752, 17.2117596, -1.454929, 14.672, GO8013_LC|GO8012_LC|GO8059_LC|GO8042_LC
220164948, 13.5569639, -1.384411, 15.438, GO8056_LC|GO8032_LC|GO8059_LC
220165000, 12.8958616, -1.382971, 15.967, GO8059_LC|GO8031_LC
220165146, 12.8979273, -1.378901, 14.871, GO8059_LC|GO8042_LC
220167440, 13.5823669, -1.305233, 13.302, GO8032_LC|GO8077_LC|GO8059_LC|GO8042_LC
220167721, 13.7484159, -1.295547, 15.869, GO8012_LC|GO8032_LC|GO8059_LC
220168802, 18.1612549, -1.260639, 15.321, GO8056_LC|GO8059_LC|GO8031_LC
220168928, 18.1479225, -1.255464, 12.819, GO8068_LC|GO8032_LC|GO8077_LC|GO8059_LC|GO8042_LC
220172582, 13.4554462, -1.092989, 15.873, GO8059_LC
220172764, 13.4719915, -1.084898, 15.176, GO8032_LC|GO8059_LC
220182402, 16.3144321, -0.692436, 12.277, GO8068_LC|GO8032_LC|GO8077_LC|GO8059_LC|GO8042_LC
220182844, 16.3531265, -0.673423, 15.122, GO8056_LC|GO8059_LC|GO8031_LC
220186340, 13.237977, -0.529438, 13.739, GO8077_LC|GO8059_LC|GO8031_LC
220186430, 13.2387486, -0.525848, 15.453, GO8059_LC|GO8042_LC
220196131, 17.5922279, -0.149572, 13.57, GO8077_LC|GO8059_LC|GO8042_LC
220196758, 19.4171085, -0.12534, 15.059, GO8012_LC|GO8059_LC
220197003, 19.4775658, -0.116742, 12.765, GO8068_LC|GO8077_LC|GO8059_LC
220197956, 19.6404915, -0.079296, 14.408, GO8059_LC|GO8042_LC
220198882, 19.8793812, -0.044019, 14.477, GO8056_LC|GO8013_LC|GO8059_LC|GO8031_LC
220198951, 19.8749161, -0.041442, 13.559, GO8056_LC|GO8013_LC|GO8012_LC|GO8032_LC|GO8059_LC|GO8042_LC
220200210, 18.9418564, 0.004448, 13.341, GO8056_LC|GO8032_LC|GO8059_LC|GO8042_LC
220200827, 12.981679, 0.026007, 15.996, GO8059_LC|GO8042_LC|GO8031_LC
220217558, 20.1017151, 0.624202, 15.063, GO8059_LC
220217592, 20.1313381, 0.625316, 15.173, GO8059_LC
220218012, 11.6997042, 0.640796, 12.971, GO8068_LC|GO8077_LC|GO8059_LC
220220908, 19.6263103, 0.737433, 15.381, GO8059_LC
220221420, 11.9213238, 0.756478, 15.615, GO8032_LC|GO8059_LC
220223359, 20.9663086, 0.824896, 13.743, GO8056_LC|GO8013_LC|GO8059_LC|GO8042_LC|GO8031_LC
220223508, 20.967411, 0.830503, 13.954, GO8056_LC|GO8013_LC|GO8059_LC|GO8042_LC|GO8031_LC
220224294, 11.6614332, 0.859383, 15.176, GO8059_LC
220230232, 16.2459278, 1.06345, 13.583, GO8032_LC|GO8077_LC|GO8059_LC|GO8042_LC
220230398, 16.5494328, 1.0686131, 15.716, GO8056_LC|GO8059_LC|GO8031_LC
220234020, 21.3419857, 1.195902, 13.496, GO8077_LC|GO8059_LC|GO8042_LC
220234452, 11.1778641, 1.209824, 14.974, GO8059_LC
220234713, 15.2801056, 1.21901, 14.366, GO8032_LC|GO8059_LC
220237330, 21.6328945, 1.289507, 12.135, GO8068_LC|GO8032_LC|GO8077_LC|GO8059_LC
220244907, 12.8475723, 1.461921, 15.555, GO8056_LC|GO8032_LC|GO8059_LC
220249672, 12.4557457, 1.566021, 14.192, GO8059_LC
220256496, 21.1059532, 1.704954, 12.872, GO8068_LC|GO8032_LC|GO8077_LC|GO8059_LC|GO8042_LC
220263211, 14.7925863, 1.850117, 14.718, GO8013_LC|GO8059_LC|GO8042_LC
220263552, 14.7910461, 1.857577, 15.018, GO8013_LC|GO8059_LC
