# Summary of K2 Program GO8070

Title: The K2 Extragalactic Survey (KEGS) for Transients

PI: Ed Shaya (U. of Maryland)
CoIs: Olling, Robert P; Rest, Armin; Kasen, Daniel Nathan; Garnavich, Peter M.; Tucker, Brad E; Mushotzky, Richard

Supernovae (SN) and Active Galactic Nuclei (AGN) vary on timescales of hours to months and are still shrouded in mystery. We propose a Large K2 Program to monitor ~2000 bright (r < 18 mag, z < 0.1) galaxies in Campaign 8 and ~2600 in Campaign 10 which should yield 12 - 24 great light curves (LCs) of supernovae. To date, we have identified 6 supernovae in Kepler GO programs (3 Type Ia and 3 Type II, although one may be Type IIn/Ia-csm), and we also found that ~ 4% of our galaxies display AGN activity (Shaya et al 2015) (variable at > 0.001% level). We plan to: a) determine the types of companions to progenitors of SNe using features in the early breakout (t < 4 days) LCs; b) explore the explosion physics of SN, especially SN Ia, using subtle features during their rise (t < 20 days); c) improve the calibration of SN Ia as standard candles for measuring distances, Ho, and dark energy using K2 LCs of unprecedented detail; d) in nearby galaxies, look for fast (t < 10 day) and faint (Mv > -15) transients in a new range of parameter space provided by K2; and e) add significant knowledge to the virtually unexplored very low-Eddington regime of AGN. 

There is an ongoing controversy over the basic physics of one of the key tools in cosmology, the SN Ia standard candle. Do SNe Ia gradually reach critical mass via accretion from a companion star or does it merge with another WD? If a white dwarf had been accreting mass from a companion star, as the ejecta reaches the companion a shock would form with observable optical emission (Kasen 2010). The emission would be short lived and strongest from certain viewing angles, requiring rapid cadence for several SNe before definitive conclusions can be reached. For the 3 SN Ia discovered by Kepler monitoring of ~500 galaxies (Olling et al. 2015), no companions were indicated and tight constraints were placed. With a larger sample, we could determine the statistics for the two possible channels that trigger SN Ia. Meanwhile, features due to the different explosion physics (detonation, deflagration, inwards-moving diffusion waves, etc) of Ia and core collapse SNe will also be revealed. K2 will allow for the first time to test models more complicated than simple "expanding fireballs." 

Our program will improve the calibration of SN Ia's for distance measurements. By determining correlations among the key parameters needed for distance fitting (light-curve width, maximum, and the explosion time) on the scale of minutes rather than days, this program will improve the precision of distances and hence the values of Ho and dark energy as a function of redshift. 

We will undertake a major, concurrent ground-based effort to observe the entire field every other day using SkyMapper and ATLAS Pathfinder. We will also coordinate multi-color photometry and spectra to classify discovered transients using PESSTO, and existing programs at Siding Spring, Lick, Gemini, and Keck. These data, coupled with high precision 30 minute K2 data will have enormous legacy value. 

In addition this program will also be sensitive to LBV- and nova-like eruptions, tidal shredding of stars or other material by super-massive black holes, and other still unknown types of faint, fast transients in the nearer galaxies of our sample. 

Methods: 
We are exploring techniques to detrend sensitivity changes over the short (daily) and long terms (months). We use correlations of brightness with centroid position and width similar to the kepsff tool of the Pyke Software suite and are creating Cotrending Basis Vectors based on our target galaxies. Both methods can be applied to the quiet time before a SN event and then extrapolated passed the onset. For AGN, we use the minimum number of CBVs that eliminate the instrumental noise but leave physical variations intact. 

References: 
Kasen. 2010,AJ,708,1025 
Olling, Mushotzky, Shaya, et al. 2015, Nature,521,332335 
Shaya, Olling, Mushotzky. 2015, submitted to AJ


# Observed targets associated with this program (2649)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220136961, 17.4101944, -2.4145939, 17.755, GO8070_LC
220138376, 17.248148, -2.3536229, 17.855, GO8070_LC
220138441, 17.2839375, -2.3505249, 16.656, GO8070_LC
220138882, 17.4661751, -2.3315971, 16.659, GO8070_LC
220139251, 17.2425499, -2.316777, 16.951, GO8070_LC
220139824, 16.8907108, -2.295373, 16.156, GO8070_LC
220143686, 16.6950436, -2.1307869, 17.068, GO8070_LC
220143837, 16.6396809, -2.1242869, 17.588, GO8070_LC
220144656, 17.8093987, -2.0916209, 16.97, GO8070_LC
220145014, 16.6583862, -2.077527, 16.787, GO8070_LC
220145551, 17.7678585, -2.056967, 17.552, GO8070_LC
220145761, 16.6964359, -2.048964, 16.56, GO8070_LC|GO8042_LC
220146329, 16.8516159, -2.0280631, 16.765, GO8070_LC
220146916, 17.6116867, -2.007174, 16.533, GO8070_LC
220146949, 16.5739555, -2.0057631, 17.196, GO8070_LC
220147002, 16.5797443, -2.003691, 16.347, GO8070_LC
220147180, 16.7487926, -1.996375, 17.152, GO8070_LC
220147311, 17.0811787, -1.9915611, 17.322, GO8070_LC
220147457, 16.5494461, -1.985641, 17.308, GO8070_LC
220147635, 13.117527, -1.9791059, 15.106, GO8070_LC
220147676, 17.5575771, -1.977434, 15.626, GO8070_LC
220148010, 16.5824146, -1.9647, 17.46, GO8070_LC
220148345, 16.6362877, -1.9522671, 17.721, GO8070_LC
220148479, 17.1754017, -1.946439, 16.291, GO8070_LC
220148485, 16.5912495, -1.946281, 16.996, GO8070_LC
220148939, 18.1099491, -1.929909, 17.945, GO8070_LC
220148956, 16.7111473, -1.929279, 17.827, GO8070_LC
220149103, 16.9446163, -1.9232889, 16.741, GO8070_LC
220149240, 17.515419, -1.918739, 15.917, GO8070_LC
220149266, 17.1608696, -1.917853, 16.516, GO8070_LC
220149426, 16.6046047, -1.912517, 17.604, GO8070_LC
220150014, 17.4295387, -1.893278, 17.452, GO8070_LC
220150174, 16.9089737, -1.887262, 15.872, GO8070_LC
220150324, 16.6401215, -1.882206, 16.857, GO8070_LC
220150503, 13.0938711, -1.8756289, 17.409, GO8070_LC
220151521, 17.1271954, -1.840247, 17.519, GO8070_LC
220151608, 17.1152744, -1.837379, 16.932, GO8070_LC
220151882, 17.8559361, -1.828863, 16.139, GO8070_LC
220152104, 17.8256226, -1.820624, 17.545, GO8070_LC
220152981, 13.2462349, -1.786913, 15.494, GO8070_LC
220153235, 17.1542339, -1.776806, 17.064, GO8070_LC
220153468, 16.903141, -1.76844, 16.607, GO8070_LC
220153620, 17.2024403, -1.76241, 17.243, GO8070_LC
220154404, 17.2934856, -1.734197, 17.879, GO8070_LC
220154583, 16.5437832, -1.727602, 16.288, GO8070_LC
220154753, 18.11866, -1.722062, 17.943, GO8070_LC
220155309, 18.3305588, -1.700552, 16.685, GO8070_LC
220156024, 16.9811115, -1.676332, 15.775, GO8070_LC
220156144, 16.9860287, -1.671904, 16.887, GO8070_LC
220156324, 13.0233002, -1.665316, 17.688, GO8070_LC
220156512, 13.6140985, -1.658868, 17.567, GO8070_LC
220156587, 16.7098064, -1.656082, 17.202, GO8070_LC
220156591, 13.6267595, -1.655926, 17.24, GO8070_LC
220156644, 18.2105904, -1.654055, 16.174, GO8070_LC
220156724, 17.3754597, -1.651489, 15.829, GO8070_LC
220156732, 16.9217625, -1.651227, 15.688, GO8070_LC
220156997, 16.9627457, -1.642126, 16.895, GO8070_LC
220158230, 13.6631489, -1.600641, 16.864, GO8070_LC|GO8042_LC
220158416, 13.0909929, -1.594607, 17.307, GO8070_LC
220158647, 17.8638477, -1.587762, 17.79, GO8070_LC
220158778, 17.8578262, -1.5838521, 16.274, GO8070_LC
220158974, 18.4258633, -1.5776629, 17.208, GO8070_LC
220159032, 13.1085081, -1.575559, 17.644, GO8070_LC
220159064, 13.6708755, -1.574591, 15.97, GO8070_LC
220159075, 13.6615887, -1.574126, 15.396, GO8070_LC
220159126, 17.4524879, -1.5725271, 17.067, GO8070_LC
220159398, 17.2372761, -1.563277, 17.775, GO8070_LC
220159939, 13.4242792, -1.544735, 17.83, GO8070_LC
220159950, 17.420517, -1.544446, 16.534, GO8070_LC
220159971, 17.1625595, -1.5438811, 17.374, GO8070_LC
220160073, 17.4792633, -1.540422, 17.378, GO8070_LC
220160530, 13.213459, -1.526209, 16.012, GO8070_LC
220160677, 17.443161, -1.521342, 16.93, GO8070_LC
220160817, 13.8299217, -1.517056, 17.844, GO8070_LC
220160876, 13.4244757, -1.515376, 16.608, GO8070_LC
220160911, 13.8174438, -1.514138, 16.974, GO8070_LC|GO8042_LC
220161087, 16.5118999, -1.508077, 17.317, GO8070_LC
220161464, 13.653986, -1.496087, 17.002, GO8070_LC
220161748, 17.5850391, -1.4870811, 17.906, GO8070_LC
220161803, 17.1007729, -1.484984, 17.698, GO8070_LC
220161832, 13.8897247, -1.483688, 17.599, GO8070_LC
220162737, 12.9014902, -1.45531, 17.825, GO8070_LC
220162818, 13.7324438, -1.452842, 15.834, GO8070_LC
220162982, 18.4236755, -1.447616, 16.636, GO8070_LC
220163051, 18.7577667, -1.445296, 16.749, GO8070_LC|GO8042_LC
220163278, 13.4380741, -1.437867, 17.916, GO8070_LC
220163630, 17.8199844, -1.426546, 17.822, GO8070_LC
220163813, 13.91259, -1.420898, 17.822, GO8070_LC
220164004, 13.8771439, -1.414282, 15.643, GO8070_LC
220164113, 13.6399717, -1.410956, 17.951, GO8070_LC
220164327, 13.9256029, -1.404125, 17.701, GO8070_LC
220164367, 18.4380417, -1.402964, 16.824, GO8070_LC
220164441, 13.7850046, -1.4000061, 17.501, GO8070_LC
220164449, 13.9394522, -1.3997459, 16.854, GO8070_LC
220164734, 17.9709206, -1.391505, 16.862, GO8070_LC
220164820, 13.7059383, -1.388648, 15.407, GO8070_LC
220164964, 13.8577957, -1.383899, 16.736, GO8070_LC
220165225, 17.4690685, -1.376479, 17.699, GO8070_LC
220165349, 13.1055641, -1.372494, 17.65, GO8070_LC
220165763, 13.9689169, -1.3589129, 17.739, GO8070_LC
220165960, 13.8390217, -1.352285, 15.362, GO8070_LC
220166119, 18.8728199, -1.347237, 16.583, GO8070_LC
220166147, 13.2990217, -1.346529, 17.423, GO8070_LC
220166330, 13.7274942, -1.340735, 16.93, GO8070_LC
220166533, 17.5340958, -1.334482, 17.187, GO8070_LC
220167022, 13.764864, -1.317591, 16.525, GO8070_LC
220167141, 16.0743141, -1.314041, 16.882, GO8070_LC|GO8042_LC
220167259, 14.1047468, -1.3103189, 17.867, GO8070_LC
220167311, 13.2418728, -1.308697, 17.68, GO8070_LC
220167312, 13.095499, -1.308696, 16.658, GO8070_LC
220167331, 18.8093109, -1.308157, 16.426, GO8070_LC|GO8042_LC
220167658, 13.3337765, -1.29795, 15.513, GO8070_LC
220167678, 13.8784924, -1.297128, 16.845, GO8070_LC
220167725, 14.0734997, -1.295406, 17.341, GO8070_LC
220168011, 14.0819902, -1.286239, 17.983, GO8070_LC
220168016, 16.4810696, -1.286148, 15.358, GO8070_LC
220168283, 16.2225704, -1.277594, 17.001, GO8070_LC
