Mars direct image path in C12
This file created at 24-Jul-2017 14:14:21 by J. Van Cleve K2 Science Office
FFI mid-time 01-Feb-2017 10:11:33 Z MJD 57785.42469
FFI RA  352.94611 DEC   -3.33258 Mag  -0.120 m   8 o   2 r  378.7 c  501.4
Location of Mars in each Cadence for which Mars in within 2 degrees of FOV, mod  = -1 means not on silicon
Note Mars will cast straylight even if image is not on silicon 
RCI    |Calendar |MJD     |Ra       |Dec    |V-Mag |Mod   |Out   |Row  |Col
 1385|13-Jan-2017 03:38:52 Z|57766.15199| 343.06619|  -8.16492| -0.549| -1|  3|  18.5|  10.5
 1386|13-Jan-2017 04:08:18 Z|57766.17243| 343.07616|  -8.15999| -0.548| -1|  3|  18.5|  10.5
 1387|13-Jan-2017 04:37:43 Z|57766.19286| 343.08612|  -8.15506| -0.547| -1|  3|  18.5|  10.5
 1388|13-Jan-2017 05:07:08 Z|57766.21329| 343.09609|  -8.15013| -0.546| -1|  3|  18.5|  10.5
 1389|13-Jan-2017 05:36:34 Z|57766.23373| 343.10606|  -8.14520| -0.546| -1|  3|  18.5|  10.5
 1390|13-Jan-2017 06:05:59 Z|57766.25416| 343.11602|  -8.14027| -0.545| -1|  3|  18.5|  10.5
 1391|13-Jan-2017 06:35:25 Z|57766.27459| 343.12599|  -8.13534| -0.544| -1|  3|  18.5|  10.5
 1392|13-Jan-2017 07:04:50 Z|57766.29503| 343.13596|  -8.13041| -0.543| -1|  3|  18.5|  10.5
 1393|13-Jan-2017 07:34:16 Z|57766.31546| 343.14592|  -8.12548| -0.542| -1|  3|  18.5|  10.5
 1394|13-Jan-2017 08:03:41 Z|57766.33589| 343.15589|  -8.12056| -0.541| -1|  3|  18.5|  10.5
 1395|13-Jan-2017 08:33:07 Z|57766.35633| 343.16586|  -8.11563| -0.541| -1|  3|  18.5|  10.5
 1396|13-Jan-2017 09:02:32 Z|57766.37676| 343.17583|  -8.11070| -0.540| -1|  3|  18.5|  10.5
 1397|13-Jan-2017 09:31:58 Z|57766.39720| 343.18581|  -8.10576| -0.540| -1|  3|  18.5|  10.5
 1398|13-Jan-2017 10:01:23 Z|57766.41763| 343.19579|  -8.10082| -0.540| -1|  3|  18.5|  10.5
 1399|13-Jan-2017 10:30:49 Z|57766.43806| 343.20578|  -8.09589| -0.540| -1|  3|  18.5|  10.5
 1400|13-Jan-2017 11:00:14 Z|57766.45850| 343.21576|  -8.09095| -0.540| -1|  3|  18.5|  10.5
 1401|13-Jan-2017 11:29:40 Z|57766.47893| 343.22574|  -8.08602| -0.540| -1|  3|  18.5|  10.5
 1402|13-Jan-2017 11:59:05 Z|57766.49936| 343.23572|  -8.08108| -0.540| -1|  3|  18.5|  10.5
 1403|13-Jan-2017 12:28:30 Z|57766.51980| 343.24571|  -8.07614| -0.540| -1|  3|  18.5|  10.5
 1404|13-Jan-2017 12:57:56 Z|57766.54023| 343.25569|  -8.07121| -0.540| -1|  3|  18.5|  10.5
 1405|13-Jan-2017 13:27:21 Z|57766.56066| 343.26567|  -8.06627| -0.540| -1|  3|  18.5|  10.5
 1406|13-Jan-2017 13:56:47 Z|57766.58110| 343.27566|  -8.06134| -0.540| -1|  3|  18.5|  10.5
 1407|13-Jan-2017 14:26:12 Z|57766.60153| 343.28564|  -8.05640| -0.540| -1|  3|  18.5|  10.5
 1408|13-Jan-2017 14:55:38 Z|57766.62196| 343.29562|  -8.05146| -0.540| -1|  3|  18.5|  10.5
 1409|13-Jan-2017 15:25:03 Z|57766.64240| 343.30562|  -8.04652| -0.539| -1|  3|  18.5|  10.5
 1410|13-Jan-2017 15:54:29 Z|57766.66283| 343.31562|  -8.04158| -0.538| -1|  3|  18.5|  10.5
 1411|13-Jan-2017 16:23:54 Z|57766.68327| 343.32562|  -8.03664| -0.538| -1|  3|  18.5|  10.5
 1412|13-Jan-2017 16:53:20 Z|57766.70370| 343.33562|  -8.03170| -0.537| -1|  3|  18.5|  10.5
 1413|13-Jan-2017 17:22:45 Z|57766.72413| 343.34562|  -8.02676| -0.536| -1|  3|  18.5|  10.5
 1414|13-Jan-2017 17:52:11 Z|57766.74457| 343.35561|  -8.02182| -0.535| -1|  3|  18.5|  10.5
 1415|13-Jan-2017 18:21:36 Z|57766.76500| 343.36561|  -8.01688| -0.534| -1|  3|  18.5|  10.5
 1416|13-Jan-2017 18:51:01 Z|57766.78543| 343.37561|  -8.01194| -0.533| -1|  3|  18.5|  10.5
 1417|13-Jan-2017 19:20:27 Z|57766.80587| 343.38561|  -8.00700| -0.533| -1|  3|  18.5|  10.5
 1418|13-Jan-2017 19:49:52 Z|57766.82630| 343.39561|  -8.00206| -0.532| -1|  3|  18.5|  10.5
 1419|13-Jan-2017 20:19:18 Z|57766.84673| 343.40561|  -7.99711| -0.531| -1|  3|  18.5|  10.5
 1420|13-Jan-2017 20:48:43 Z|57766.86717| 343.41561|  -7.99217| -0.530| -1|  3|  18.5|  10.5
 1421|13-Jan-2017 21:18:09 Z|57766.88760| 343.42562|  -7.98723| -0.529| -1|  3|  18.5|  10.5
 1422|13-Jan-2017 21:47:34 Z|57766.90804| 343.43563|  -7.98228| -0.529| -1|  3|  18.5|  10.5
