Mars ghost image path in C12
This file created at 24-Jul-2017 14:14:21 by J. Van Cleve K2 Science Office
FFI mid-time 01-Feb-2017 10:11:33 Z MJD 57785.42469
FFI ghost RA  350.36440 DEC   -6.86951 Mag  -0.120 m  18 o   2 r  375.6 c  505.8
Location of Mars ghost in each Cadence for which Mars in within 2 degrees of FOV, mod  = -1 means not on silicon
Note Mars ghost will cast straylight even if ghost is not on silicon.  Magnitude is for direct image 
RCI    |Calendar |MJD     |Ra       |Dec    |V-Mag |Mod   |Out   |Row  |Col
 1385|13-Jan-2017 03:38:52 Z|57766.15199| 360.16853|  -1.92690| -0.549| -1|  3|  18.5|  10.5
 1386|13-Jan-2017 04:08:18 Z|57766.17243| 360.15880|  -1.93209| -0.548| -1|  3|  18.5|  10.5
 1387|13-Jan-2017 04:37:43 Z|57766.19286| 360.14906|  -1.93727| -0.547| -1|  3|  18.5|  10.5
 1388|13-Jan-2017 05:07:08 Z|57766.21329| 360.13932|  -1.94246| -0.546| -1|  3|  18.5|  10.5
 1389|13-Jan-2017 05:36:34 Z|57766.23373| 360.12958|  -1.94765| -0.546| -1|  3|  18.5|  10.5
 1390|13-Jan-2017 06:05:59 Z|57766.25416| 360.11985|  -1.95284| -0.545| -1|  3|  18.5|  10.5
 1391|13-Jan-2017 06:35:25 Z|57766.27459| 360.11011|  -1.95802| -0.544| -1|  3|  18.5|  10.5
 1392|13-Jan-2017 07:04:50 Z|57766.29503| 360.10037|  -1.96321| -0.543| -1|  3|  18.5|  10.5
 1393|13-Jan-2017 07:34:16 Z|57766.31546| 360.09063|  -1.96840| -0.542| -1|  3|  18.5|  10.5
 1394|13-Jan-2017 08:03:41 Z|57766.33589| 360.08089|  -1.97359| -0.541| -1|  3|  18.5|  10.5
 1395|13-Jan-2017 08:33:07 Z|57766.35633| 360.07115|  -1.97877| -0.541| -1|  3|  18.5|  10.5
 1396|13-Jan-2017 09:02:32 Z|57766.37676| 360.06140|  -1.98396| -0.540| -1|  3|  18.5|  10.5
 1397|13-Jan-2017 09:31:58 Z|57766.39720| 360.05165|  -1.98915| -0.540| -1|  3|  18.5|  10.5
 1398|13-Jan-2017 10:01:23 Z|57766.41763| 360.04189|  -1.99434| -0.540| -1|  3|  18.5|  10.5
 1399|13-Jan-2017 10:30:49 Z|57766.43806| 360.03213|  -1.99954| -0.540| -1|  3|  18.5|  10.5
 1400|13-Jan-2017 11:00:14 Z|57766.45850| 360.02237|  -2.00473| -0.540| -1|  3|  18.5|  10.5
 1401|13-Jan-2017 11:29:40 Z|57766.47893| 360.01262|  -2.00992| -0.540| -1|  3|  18.5|  10.5
