#cadence number, black residual [ADU/LC/pixel]
140878, -497.756186
140879, -492.446662
140880, -493.279995
140881, -485.946662
140882, -485.482376
140883, -486.083567
140884, -479.875233
140885, -474.416900
140886, -471.256186
140887, -467.131186
140888, -468.678805
140889, -466.994281
140890, -462.035948
140891, -462.410948
140892, -452.708567
140893, -450.678805
140894, -449.357376
140895, -453.029995
140896, -450.035948
140897, -451.041900
140898, -440.988328
140899, -435.643090
140900, -436.577614
140901, -433.928805
140902, 23.161254
140903, 21.692716
140904, 15.470778
140905, 18.001390
140906, 12.902750
140907, 6.780301
140908, 6.807512
140909, 2.447818
140910, 7.531152
140911, 2.394247
140912, 1.306662
140913, 0.024349
140914, 0.051560
140915, -407.149043
140916, -403.982376
140917, -397.053805
140918, -393.637138
140919, -384.196662
140920, -382.012138
140921, -376.672852
140922, -392.627817
140923, -367.029995
140924, -360.303805
140925, -361.466779
140926, -303.608941
140927, -352.327614
140928, -342.208567
140929, -339.232376
140930, -331.972625
140931, -328.951868
140932, -48.374245
140933, -43.312513
140934, -43.727957
140935, -53.177484
140936, -48.500642
140937, -37.526065
140938, -285.958567
140939, -283.399043
140940, -249.898844
140941, -273.339519
140942, -271.563296
140943, -36.225436
140944, -33.558769
140945, -74.636905
140946, -32.523055
140947, -31.612340
140948, -8.813645
140949, -29.225347
140950, -25.295819
140951, -47.764395
140952, -22.802241
140953, -226.924131
140954, -22.674680
140955, -21.770401
140956, -27.701626
140957, -18.032145
140958, -85.219127
140959, -23.636150
140960, -16.390575
140961, -17.241962
140962, -11.920291
140963, -13.029630
140964, -18.292480
140965, -15.555472
140966, -21.862340
140967, -10.903309
140968, -15.207660
140969, -12.028850
140970, -15.668245
140971, NaN
140972, -19.630197
140973, -12.705729
140974, -12.083946
140975, -11.473747
140976, -8.664033
140977, -9.531386
140978, -9.293803
140979, -7.803643
140980, -9.039377
140981, -16.546864
140982, -11.742891
140983, -7.510943
140984, -9.899262
140985, -6.619070
140986, -11.045337
140987, -11.934815
140988, -7.979815
140989, -6.220605
140990, -7.579322
140991, -11.848265
140992, -6.217653
140993, -7.081978
140994, -7.693450
140995, -6.835520
140996, -5.507795
140997, -6.938334
140998, -5.328240
140999, -6.095162
141000, -7.050987
141001, -6.663344
141002, -5.175741
141003, -5.690794
141004, -4.687252
141005, -4.051183
141006, -7.025406
141007, -5.901341
141008, -4.579027
141009, -5.363167
141010, -6.679578
141011, -4.522455
141012, -5.699157
141013, -7.383657
141014, -5.679971
141015, -5.077846
141016, -6.290459
141017, -12.451626
141018, -3.906898
141019, -3.940499
141020, -6.199452
141021, -4.804824
141022, -1.411267
141023, -6.234379
141024, -5.260845
141025, -4.724639
141026, -4.265666
141027, -4.102836
141028, -5.211160
141029, -7.615233
141030, -6.081388
141031, -7.358882
141032, -5.658818
141033, -3.233100
141034, -1.415031
141035, -1.833061
141036, -4.691679
141037, -4.889436
141038, -4.982791
141039, -5.616512
141040, -4.480640
141041, -3.923281
141042, -2.106352
141043, -4.476213
141044, -2.288098
141045, -3.519897
141046, -3.911475
141047, -4.604607
141048, -4.142191
141049, -2.812006
141050, -0.273914
141051, -4.788098
141052, -6.053348
141053, -1.424720
141054, -4.030030
141055, -5.696205
141056, -2.831683
141057, -0.876833
141058, -4.293803
141059, -3.983297
141060, -4.134812
141061, -3.923281
141062, -4.034950
141063, -1.076526
141064, -3.883435
141065, -4.985855
141066, -3.362970
141067, NaN
141068, -4.254351
141069, -4.115135
141070, -4.179578
141071, -3.959684
141072, -3.343293
141073, -3.524816
141074, -1.625681
141075, -4.522455
141076, -3.545477
141077, -4.213029
141078, -5.026685
141079, -2.076252
141080, -6.271044
141081, -4.351262
141082, -3.873596
141083, 2.911588
141084, -4.514092
141085, -1.377985
141086, -2.699353
141087, -2.192757
141088, 1.987222
141089, -6.558207
141090, -3.979361
141091, -3.238511
141092, -3.271471
141093, -0.429736
141094, -4.446697
141095, -1.996358
141096, -1.457020
141097, -0.471687
141098, -5.626351
141099, -3.641404
141100, -4.073320
141101, -0.358400
141102, -0.739224
141103, -1.452870
141104, -2.698862
141105, -3.940991
141106, -4.627236
141107, -1.241656
141108, -0.887714
141109, -0.268851
141110, -3.823419
141111, -0.661139
141112, -0.449286
141113, -1.273018
141114, 0.241959
141115, -5.268224
141116, 0.534530
141117, -3.902620
141118, -4.699550
141119, -4.912065
141120, -4.218932
141121, -4.450141
141122, -0.963238
141123, 0.652225
141124, -3.569090
141125, -0.151667
141126, -3.243431
141127, -1.493473
141128, -0.673940
141129, -0.862112
141130, -2.022455
141131, -3.265568
141132, -0.585389
141133, -5.704603
141134, -3.089456
141135, -5.567811
141136, -3.723065
141137, -3.100278
141138, -2.237921
141139, -4.178102
141140, -2.901046
141141, -4.447681
141142, -1.447749
141143, -3.188334
141144, -4.271481
141145, 0.421607
141146, -4.015272
141147, -3.996579
141148, -4.000514
141149, -4.224836
141150, -5.046362
141151, -3.310825
141152, -0.595855
141153, -3.642880
141154, -0.840991
141155, -4.549019
141156, -0.734744
141157, -3.718145
141158, -3.824895
141159, -3.624186
141160, -3.591227
141161, -0.308477
141162, -1.984744
141163, NaN
141164, -3.463816
141165, -1.417668
141166, -1.751129
141167, -3.655670
141168, -4.079224
141169, -0.997801
141170, -3.136065
141171, -0.890852
141172, -3.754548
141173, -5.563383
141174, -1.044506
141175, -1.582158
141176, -2.059629
141177, -4.057087
141178, -0.252153
141179, -1.938826
141180, -3.995595
141181, 1.184342
141182, -2.411573
141183, -1.228215
141184, -4.072337
141185, -0.096623
141186, -0.228471
141187, -2.990085
141188, -3.640420
141189, -2.882844
141190, 0.704479
141191, -1.170937
141192, -3.931152
141193, -5.475819
141194, -0.045420
141195, 0.697078
141196, -6.569790
141197, -3.773242
141198, 1.286779
141199, -4.403407
141200, -1.009961
141201, -3.946894
141202, -1.515594
141203, -4.313383
141204, -1.066285
141205, -5.654883
141206, -3.042230
141207, -4.791050
141208, -2.735756
141209, -3.442171
141210, 1.047207
141211, -0.620817
141212, -3.635993
141213, -4.208110
141214, -3.763403
141215, -2.461750
141216, -0.592655
141217, -4.374383
141218, -0.778267
141219, -3.696992
141220, -2.847917
141221, -1.527755
141222, -4.324698
141223, -0.920356
141224, -0.423684
141225, -2.854312
141226, -0.450566
141227, -2.679184
141228, -5.860510
141229, -3.977886
141230, -1.202314
141231, -1.664723
141232, -1.117873
141233, -4.805316
141234, -0.933157
141235, -2.494218
141236, -4.122022
141237, -1.482952
141238, 1.396136
141239, -1.001641
141240, 1.362914
141241, -4.948960
141242, 0.302123
141243, -3.237035
141244, -2.437893
141245, -0.361136
141246, -0.549132
141247, -0.787031
141248, -0.167027
141249, -3.631565
141250, -1.205174
141251, 0.014002
141252, -1.893218
141253, 0.361646
141254, 1.714520
141255, -1.453510
141256, 0.683235
141257, -4.495398
141258, -2.673281
141259, NaN
141260, -2.707990
141261, -3.187842
