# K2 Campaign 6
# Guide Star Information
# Time (JD), FGS Flux
# 
2457217.41725,   1.4902000000000E+04
2457217.41794,   1.5321000000000E+04
2457217.41863,   1.5227000000000E+04
2457217.41932,   1.5278000000000E+04
2457217.42001,   1.5298000000000E+04
2457217.4207,   1.4735000000000E+04
2457217.42139,   1.4852000000000E+04
2457217.42207,   1.4832000000000E+04
2457217.42276,   1.4755000000000E+04
2457217.42345,   1.4778000000000E+04
2457217.42414,   1.4729000000000E+04
2457217.42483,   1.5062000000000E+04
2457217.42552,   1.4925000000000E+04
2457217.42621,   1.4876000000000E+04
2457217.42689,   1.5123000000000E+04
2457217.42758,   1.5077000000000E+04
2457217.42827,   1.4599000000000E+04
2457217.42896,   1.4767000000000E+04
2457217.42965,   1.4528000000000E+04
2457217.43034,   1.4493000000000E+04
2457217.43103,   1.4522000000000E+04
2457217.43172,   1.4995000000000E+04
2457217.4324,   1.4883000000000E+04
2457217.43309,   1.4865000000000E+04
2457217.43378,   1.4347000000000E+04
2457217.43447,   1.4933000000000E+04
2457217.43516,   1.4399000000000E+04
2457217.43585,   1.4430000000000E+04
2457217.43654,   1.4399000000000E+04
2457217.43722,   1.4241000000000E+04
2457217.43791,   1.4274000000000E+04
2457217.4386,   1.4765000000000E+04
2457217.43929,   1.4205000000000E+04
2457217.43998,   1.4548000000000E+04
2457217.44067,   1.4449000000000E+04
2457217.44136,   1.4498000000000E+04
2457217.44205,   1.4200000000000E+04
2457217.44273,   1.4143000000000E+04
2457217.44342,   1.4266000000000E+04
2457217.44411,   1.4256000000000E+04
2457217.4448,   1.4112000000000E+04
2457217.44549,   1.4461000000000E+04
2457217.44618,   1.4518000000000E+04
2457217.44687,   1.4031000000000E+04
2457217.44755,   1.4389000000000E+04
2457217.44824,   1.4438000000000E+04
2457217.44893,   1.3969000000000E+04
2457217.44962,   1.4055000000000E+04
2457217.45031,   1.4043000000000E+04
2457217.451,   1.3720000000000E+04
2457217.45169,   1.3747000000000E+04
2457217.45237,   1.4275000000000E+04
2457217.45306,   1.4089000000000E+04
2457217.45375,   1.4174000000000E+04
2457217.45444,   1.3687000000000E+04
2457217.45513,   1.3746000000000E+04
2457217.45582,   1.3727000000000E+04
2457217.45651,   1.3697000000000E+04
2457217.4572,   1.3732000000000E+04
2457217.45788,   1.3628000000000E+04
2457217.45857,   1.3659000000000E+04
2457217.45926,   1.3549000000000E+04
2457217.45995,   1.3931000000000E+04
2457217.46064,   1.4004000000000E+04
2457217.46133,   1.3959000000000E+04
2457217.46202,   1.3909000000000E+04
2457217.4627,   1.3398000000000E+04
2457217.46339,   1.3461000000000E+04
2457217.46408,   1.3474000000000E+04
2457217.46477,   1.3349000000000E+04
2457217.46546,   1.3245000000000E+04
2457217.46615,   1.3556000000000E+04
2457217.46684,   1.3695000000000E+04
2457217.46753,   1.3686000000000E+04
2457217.46821,   1.3518000000000E+04
2457217.4689,   1.3494000000000E+04
2457217.46959,   1.3118000000000E+04
2457217.47028,   1.3262000000000E+04
2457217.47097,   1.3080000000000E+04
2457217.47166,   1.2914000000000E+04
2457217.47235,   1.2902000000000E+04
2457217.47303,   1.3367000000000E+04
2457217.47372,   1.3222000000000E+04
2457217.47441,   1.3131000000000E+04
