#Mission K2
#Campaign 6
#Column 1, Custom Aperture Number/Dataset number
#Column 2, Trojan/Asteroid designation number
#Created by Susan Thompson
#Created on 2016-02-02
200041889,10989
200041890,10989
200041891,10989
200041892,10989
200041893,10989
200041894,10989
200041895,10989
200041896,10989
200041897,10989
200041898,10989
200041899,10989
200041900,10989
200041901,10989
200041902,10989
200041903,10989
200041904,10989
200041905,10989
200041906,10989
200041907,10989
200041908,10989
200041909,10989
200041910,10989
200041911,10989
200041912,10989
200041913,10989
200041914,10989
200041915,10989
200041916,10989
200041917,10989
200041918,10989
200041919,10989
200041920,10989
200041921,10989
200041922,10989
200041923,10989
200041924,10989
200041925,10989
200041926,10989
200041927,10989
200041928,10989
200041929,10989
200041930,10989
200041931,10989
200041932,10989
200041933,10989
200041934,10989
200041935,10989
200041936,10989
200041937,10989
200041938,10989
200041939,10989
200041940,10989
200041941,10989
200041942,10989
200041943,10989
200041944,10989
200041945,10989
200041946,10989
200041947,10989
200041948,10989
200041949,10989
200041950,10989
200041951,10989
200041952,10989
200041953,10989
200041954,10989
200041955,10989
200041956,10989
200041957,10989
200041958,10989
200041959,10989
200041960,10989
200041961,10989
200041962,10989
200041963,10989
200041964,10989
200041965,10989
200041966,10989
200041967,10989
200041968,10989
200041969,10989
200041970,10989
200041971,10989
200041972,10989
200041973,10989
200041974,10989
200041975,10989
200041976,10989
200041977,10989
200041978,10989
200041979,10989
200041980,10989
200041981,10989
200041982,10989
200041983,10989
200041984,10989
200041985,10989
200041986,10989
200041987,10989
200041988,10989
200041989,10989
200041990,10989
200041991,10989
200041992,10989
200041993,10989
200041994,10989
200041995,10989
200041996,10989
200041997,10989
200041998,10989
200041999,10989
200042000,10989
200042001,10989
200042002,10989
200042003,10989
200042004,10989
200042005,10989
200042006,10989
200042007,10989
200042008,10989
200042009,10989
200042010,10989
200042011,10989
200042012,10989
200042013,10989
200042014,10989
200042015,11251
200042016,11251
200042017,11251
200042018,11251
200042019,11251
200042020,11251
200042021,11251
200042022,11251
200042023,11251
200042024,11251
200042025,11251
200042026,11251
200042027,11251
200042028,11251
200042029,11251
200042030,11251
200042031,11251
200042032,11251
200042033,11251
200042034,11251
200042035,11251
200042036,11251
200042037,11251
200042038,11251
200042039,11251
200042040,11251
200042041,11251
200042042,11251
200042043,11251
200042044,11251
200042045,11251
200042046,11251
200042047,11251
200042048,11251
200042049,11251
200042050,11251
200042051,11251
200042052,11251
200042053,11251
200042054,11251
200042055,11251
200042056,11251
200042057,11251
200042058,11251
200042059,11251
200042060,11251
200042061,11251
200042062,11251
200042063,11251
200042064,11251
200042065,11251
200042066,11251
200042067,11251
200042068,11251
200042069,11251
200042070,11251
200042071,11251
200042072,11251
200042073,11251
200042074,11251
200042075,11251
200042076,11251
200042077,11251
200042078,11251
200042079,11251
200042080,11251
200042081,11251
200042082,11251
200042083,11251
200042084,11251
200042085,11251
200042086,11251
200042087,11251
200042088,11251
200042089,11251
200042090,11251
200042091,11251
200042092,11251
200042093,11251
200042094,11251
200042095,11251
200042096,11251
